show_id,event_id,event_venue_id,show_date,start_time,price,total_seats,available_seats,show_publicly
1000363,1001077,1002755,2019-02-01,06:06:23,808,375,,t
1000365,1000100,1004914,2019-05-12,02:17:30,192,488,,f
1000367,1002771,1004194,2022-09-01,07:37:16,136,81,74,t
1000368,1000191,1001627,2022-04-14,14:32:30,940,403,399,t
1000374,1001408,1000783,2021-06-14,09:29:30,165,237,,f
1000375,1003163,1001088,2018-10-27,12:59:47,851,253,240,t
1000377,1000059,1000995,2020-06-24,12:27:00,512,444,438,t
1000378,1000527,1004457,2018-11-24,17:13:09,919,463,457,t
1000381,1000584,1002651,2022-08-10,08:22:31,948,86,,f
1000384,1002531,1001344,2021-01-16,20:51:19,611,457,447,f
1000385,1002447,1001148,2018-09-10,01:57:07,259,466,465,f
1000386,1001967,1002272,2022-06-28,19:24:08,151,303,300,t
1000387,1001407,1001623,2017-12-29,07:20:49,636,25,6,f
1000388,1002253,1003943,2021-08-30,09:45:37,957,228,,f
1000391,1001443,1004895,2022-10-04,04:06:15,423,235,,f
1000394,1001584,1003980,2021-07-08,20:10:52,997,129,,f
1000395,1000859,1004933,2016-11-03,12:32:09,848,28,,t
1000397,1004559,1000391,2017-08-18,11:34:26,136,374,,t
1000398,1001520,1002378,2022-08-21,23:18:30,845,16,15,t
1000400,1003887,1004708,2021-07-25,02:58:19,102,264,,t
1000403,1002077,1000781,2016-12-23,13:24:41,631,168,161,t
1000407,1002983,1004833,2018-09-26,03:11:55,980,312,294,f
1000410,1002401,1003813,2019-07-20,02:07:42,692,166,,f
1000415,1002227,1004924,2020-01-08,21:34:38,293,186,,f
1000418,1000801,1002559,2020-09-24,04:21:05,733,92,74,t
1000419,1004625,1000113,2022-09-06,12:29:16,64,202,201,f
1000423,1001742,1003809,2020-12-25,14:46:27,956,486,477,f
1000427,1003121,1003990,2022-11-03,03:27:21,628,334,329,t
1000429,1002566,1003402,2022-03-20,17:35:16,611,217,190,f
1000430,1004065,1003794,2018-04-27,22:32:36,472,344,332,t
1000431,1002778,1001360,2020-02-22,20:19:56,757,53,46,t
1000433,1002427,1001014,2020-04-16,14:54:36,119,316,,f
1000435,1001248,1001047,2021-05-25,11:16:45,684,215,214,t
1000439,1003823,1004063,2019-10-17,09:15:14,536,29,26,t
1000442,1004310,1000718,2020-06-18,09:11:51,382,213,,f
1000445,1002030,1001496,2022-05-26,15:18:29,519,218,,t
1000447,1001446,1003325,2022-01-10,11:31:22,162,113,104,f
1000448,1000038,1003949,2018-08-17,23:14:15,513,159,,f
1000450,1000211,1002643,2021-12-26,00:18:16,371,131,125,f
1000451,1002257,1000499,2017-09-16,18:15:41,839,125,120,f
1000453,1002765,1001392,2017-10-28,21:53:22,604,50,,f
1000454,1001023,1000448,2022-08-07,22:45:33,816,38,17,f
1000455,1000169,1003924,2022-09-06,06:29:05,504,227,,f
1000456,1002321,1001343,2021-05-19,08:11:57,641,347,,t
1000458,1003524,1002906,2020-02-10,04:29:59,502,371,369,t
1000460,1000605,1002578,2022-05-24,07:27:04,292,35,13,f
1000466,1004070,1003946,2022-04-20,02:06:52,71,200,194,f
1000468,1000915,1001866,2020-11-11,12:15:00,468,69,59,t
1000470,1002935,1000639,2019-02-15,05:50:26,723,402,400,t
1000471,1002169,1002646,2020-04-18,05:54:25,165,295,286,f
1000472,1002980,1003919,2018-10-31,20:06:02,683,240,,f
1000474,1002604,1004537,2020-01-13,23:50:50,469,397,,t
1000478,1004234,1004696,2018-03-13,04:29:34,186,289,,f
1000487,1004542,1003441,2022-03-08,20:09:29,288,283,256,f
1000488,1001970,1003068,2022-04-10,03:34:18,557,414,404,f
1000490,1000854,1004591,2019-05-17,01:09:34,181,472,454,t
1000493,1004877,1001710,2021-01-25,09:26:28,287,330,,t
1000498,1004878,1000109,2020-11-21,02:03:28,157,222,211,f
1000501,1002920,1003996,2018-10-24,22:00:30,340,150,,t
1000503,1000958,1004914,2020-11-05,01:19:27,167,179,168,f
1000504,1001820,1004776,2022-03-19,22:10:58,694,401,397,t
1000506,1001020,1004395,2020-07-27,14:01:34,378,232,229,t
1000510,1000960,1002143,2020-01-11,01:21:48,549,217,213,f
1000511,1001430,1002038,2022-04-01,15:40:05,752,441,,f
1000516,1000280,1001461,2019-03-02,22:16:16,789,357,,f
1000517,1002348,1003452,2021-01-26,05:45:39,720,381,,t
1000522,1001157,1004144,2022-01-16,20:06:08,763,383,362,t
1000523,1002414,1000466,2020-10-12,09:10:10,356,90,83,f
1000525,1000778,1002370,2022-11-21,08:58:50,243,404,392,f
1000526,1004561,1003426,2019-08-04,18:58:26,948,350,333,t
1000527,1002335,1004197,2022-11-04,13:42:09,292,283,,f
1000528,1001153,1001215,2020-10-27,18:26:20,483,131,124,t
1000529,1002551,1000332,2020-08-18,08:34:11,232,245,237,f
1000530,1004593,1003711,2022-06-03,04:57:14,768,164,162,t
1000536,1000815,1002838,2020-06-02,06:50:33,199,147,142,t
1000537,1000671,1001941,2021-04-05,10:59:48,438,282,274,t
1000539,1001843,1001682,2021-02-23,02:57:23,130,194,,f
1000542,1002393,1000159,2022-10-11,07:31:26,277,303,297,t
1000544,1002465,1002732,2019-11-26,04:45:27,235,398,397,t
1000545,1002645,1003214,2020-03-04,19:16:49,860,414,,f
1000552,1004344,1001639,2021-08-12,02:48:52,256,281,270,f
1000553,1003752,1001754,2021-05-10,23:35:00,445,54,,t
1000555,1001166,1001285,2021-06-12,19:59:20,677,118,103,f
1000556,1002460,1000453,2022-11-01,08:22:47,627,82,80,t
1000557,1003725,1004908,2022-05-13,10:42:39,52,163,140,t
1000558,1004306,1004136,2020-07-15,10:46:22,805,318,,t
1000562,1000513,1002816,2022-10-07,00:34:49,624,78,66,t
1000564,1004100,1004228,2022-04-07,02:08:11,948,147,,f
1000565,1000584,1004290,2021-05-16,14:30:00,353,434,,t
1000566,1004095,1001024,2017-06-18,06:08:45,785,323,320,t
1000567,1003847,1003737,2020-06-24,02:35:37,717,197,,f
1000569,1000749,1001948,2022-07-17,05:56:29,85,26,17,t
1000574,1003054,1004571,2020-08-08,06:01:17,564,127,124,f
1000579,1001490,1003515,2022-04-02,22:41:28,739,130,120,t
1000580,1002775,1000232,2020-07-12,21:43:55,298,398,,t
1000584,1001735,1000973,2019-03-20,14:04:45,127,71,,t
1000587,1000921,1000640,2017-09-29,02:58:38,611,253,250,t
1000589,1003520,1004204,2020-03-24,07:37:29,400,130,,f
1000591,1004837,1002820,2021-04-30,17:47:17,169,416,,f
1000596,1004461,1001162,2020-11-24,23:38:05,824,413,412,t
1000597,1000874,1000312,2020-05-24,01:09:10,60,485,484,f
1000598,1003159,1003805,2022-05-29,13:25:23,91,174,167,f
1000602,1003721,1002761,2018-12-13,03:17:46,82,55,,f
1000603,1001160,1002136,2022-02-03,10:12:30,541,117,113,t
1000604,1000283,1003408,2022-01-12,20:15:11,333,400,378,t
1000609,1003716,1000184,2019-11-19,23:22:39,42,319,,t
1000610,1000310,1003631,2018-01-05,03:48:09,876,305,296,f
1000611,1003286,1003950,2019-04-16,07:07:42,530,86,84,f
1000612,1002744,1000744,2022-06-17,08:38:14,41,25,22,f
1000618,1004041,1000823,2019-11-21,04:32:56,79,121,,t
1000620,1004172,1001756,2021-09-03,15:51:34,459,214,,t
1000621,1004300,1004094,2020-06-22,05:11:17,982,175,,t
1000623,1002794,1000785,2020-06-15,05:34:14,257,92,,f
1000625,1001357,1000730,2021-03-16,19:07:30,483,389,382,f
1000627,1001812,1003996,2022-04-15,05:45:48,777,169,156,t
1000628,1003062,1002560,2022-09-12,05:27:10,29,383,376,t
1000631,1004279,1004991,2022-02-28,20:23:48,294,163,155,f
1000634,1004363,1000500,2019-12-19,21:25:19,849,217,,f
1000635,1003080,1000073,2022-06-06,04:11:52,86,180,179,f
1000636,1003825,1004562,2020-12-26,07:32:10,868,470,,t
1000638,1000233,1002555,2022-09-01,17:34:44,845,500,489,t
1000639,1002920,1003993,2020-11-24,07:05:26,889,373,,f
1000640,1003830,1002807,2017-07-04,15:39:06,992,313,309,f
1000641,1000148,1000327,2022-09-12,10:30:13,721,190,186,t
1000642,1001088,1003960,2021-04-26,15:48:19,857,484,,f
1000643,1004344,1002639,2018-08-04,11:12:28,321,432,,f
1000644,1004975,1002456,2016-04-11,22:16:48,463,222,,f
1000647,1004350,1002248,2020-10-14,09:49:53,627,88,,t
1000648,1000673,1001369,2016-11-22,16:13:07,388,220,203,f
1000652,1001435,1002988,2021-04-14,13:08:43,439,333,,f
1000653,1000985,1000817,2020-06-10,10:29:30,790,388,385,t
1000657,1003469,1001961,2021-01-23,18:49:41,609,44,26,t
1000661,1004020,1002478,2020-05-23,04:04:24,404,93,84,f
1000662,1004643,1002832,2019-10-29,20:36:31,318,33,30,t
1000663,1003760,1002680,2022-04-04,05:48:24,402,67,,t
1000664,1001100,1004949,2021-01-22,16:59:12,419,206,201,t
1000665,1004090,1000786,2016-12-16,13:33:27,107,303,288,f
1000666,1000249,1000978,2022-10-11,19:42:56,861,43,23,t
1000670,1002291,1001391,2021-02-14,22:18:34,231,319,308,f
1000672,1001663,1000709,2019-06-02,00:06:09,707,191,,t
1000674,1004630,1003813,2018-07-29,06:41:56,779,402,,t
1000677,1003069,1002794,2019-03-13,13:36:22,636,164,163,t
1000678,1000835,1004666,2020-04-14,01:46:21,390,171,165,t
1000682,1000264,1000285,2020-03-05,21:03:32,621,323,,f
1000683,1003410,1001245,2022-08-13,16:29:02,609,175,159,t
1000685,1003060,1003833,2021-09-02,14:40:38,908,82,72,t
1000687,1000594,1001143,2020-09-11,10:12:15,506,432,,f
1000688,1004523,1001092,2021-03-21,10:06:50,94,94,89,t
1000689,1001704,1004718,2022-06-29,05:39:17,365,100,92,t
1000692,1001629,1004916,2018-08-14,10:02:19,828,244,,t
1000694,1003333,1003341,2022-05-13,20:09:21,856,50,48,t
1000696,1001145,1003194,2018-06-25,00:20:35,872,162,156,f
1000697,1002523,1004313,2022-09-09,21:30:36,552,188,169,t
1000701,1002259,1001591,2018-03-26,19:02:35,302,69,63,t
1000702,1002792,1004364,2021-07-25,00:39:01,190,131,,t
1000704,1003395,1001249,2020-09-02,10:31:50,218,105,95,f
1000706,1000170,1002916,2021-08-24,23:58:49,470,50,,t
1000707,1000701,1003041,2021-06-20,14:21:31,55,248,240,f
1000708,1003693,1001547,2021-02-05,03:15:00,563,477,467,t
1000710,1002913,1004938,2020-12-30,19:33:59,852,185,,f
1000711,1003658,1001604,2019-01-06,15:10:30,716,480,470,f
1000729,1004045,1002146,2018-08-11,19:10:28,55,128,119,f
1000734,1002015,1001962,2018-08-31,19:27:15,791,184,172,f
1000735,1000397,1002791,2019-05-26,18:06:09,944,460,442,t
1000741,1002457,1001436,2020-09-26,00:12:28,157,315,309,t
1000744,1002400,1000289,2021-06-23,21:37:27,106,268,258,t
1000745,1004645,1002313,2020-05-16,22:50:59,45,337,334,f
1000746,1003989,1001880,2019-05-17,11:16:25,620,387,,t
1000747,1001044,1003580,2017-04-20,01:55:26,752,235,229,f
1000748,1001969,1002103,2020-03-22,23:09:45,670,55,45,t
1000749,1000273,1001786,2022-04-19,00:05:58,547,498,,t
1000754,1001235,1000226,2019-07-27,21:35:48,566,14,,f
1000757,1002393,1001589,2022-11-21,11:23:38,300,282,280,f
1000759,1002045,1004521,2018-06-12,07:10:41,65,287,,f
1000765,1000538,1002405,2018-07-14,14:20:38,912,97,88,t
1000766,1003276,1001501,2022-11-26,11:47:34,902,412,393,f
1000767,1001980,1003526,2020-11-18,23:01:51,780,366,,f
1000769,1001870,1000564,2016-07-17,18:53:23,898,43,,f
1000770,1001693,1000221,2020-04-09,11:45:02,767,343,342,t
1000771,1001494,1001689,2019-08-22,00:20:45,11,404,394,t
1000774,1000576,1001655,2022-11-18,07:49:35,929,488,480,f
1000777,1004281,1001274,2021-11-10,11:23:20,420,25,16,f
1000779,1003728,1001158,2018-06-07,23:52:16,838,158,,t
1000783,1003469,1003198,2021-02-15,03:49:37,891,214,208,f
1000785,1003597,1000643,2019-09-22,08:58:23,78,466,,t
1000786,1002074,1002097,2021-11-09,05:12:39,886,71,,f
1000788,1000007,1003348,2021-07-19,14:54:59,984,195,,f
1000789,1001716,1000085,2022-11-12,01:34:03,335,148,133,f
1000795,1004868,1003237,2020-09-17,21:53:38,47,61,,f
1000804,1004003,1004947,2018-10-29,03:33:02,991,128,,f
1000807,1004356,1003929,2021-08-05,10:20:22,838,374,365,t
1000810,1003327,1004765,2020-12-04,17:38:00,876,231,228,f
1000811,1000194,1004361,2019-05-31,03:31:33,312,473,,t
1000812,1001963,1003648,2021-07-09,05:45:45,819,279,269,t
1000815,1003477,1004082,2020-12-27,18:41:18,448,446,,f
1000817,1004334,1000459,2022-07-13,04:36:38,879,115,102,t
1000818,1003330,1002546,2020-07-18,22:52:51,867,295,288,f
1000821,1002868,1003963,2019-12-19,16:38:09,270,127,116,t
1000822,1002497,1003964,2020-10-20,22:55:33,29,176,,f
1000823,1003325,1002905,2021-05-13,07:50:32,606,492,,t
1000825,1004541,1004519,2021-07-27,05:58:31,552,90,76,t
1000826,1003513,1001498,2019-09-09,03:29:57,573,200,,f
1000827,1004357,1003834,2022-09-21,09:47:44,379,312,311,f
1000831,1001874,1003603,2018-02-21,03:01:23,881,220,,t
1000832,1004971,1002890,2020-01-07,14:38:57,589,171,163,t
1000835,1004150,1002152,2021-05-04,05:06:55,949,255,,t
1000844,1001706,1003667,2020-11-20,08:03:30,132,259,249,t
1000847,1004546,1000253,2022-05-17,06:00:51,781,464,,f
1000855,1002443,1001404,2020-06-07,15:39:25,291,238,222,f
1000859,1001298,1004146,2021-12-13,18:08:50,940,245,235,f
1000860,1002089,1003906,2022-01-12,01:49:40,958,310,,t
1000864,1004550,1004905,2021-07-05,14:04:06,812,427,397,t
1000865,1002972,1003825,2020-07-29,09:25:10,93,73,,f
1000867,1002398,1001304,2018-12-15,09:53:03,616,10,-1,f
1000870,1002345,1003176,2021-04-03,09:17:36,277,451,442,f
1000871,1004573,1000906,2021-01-26,13:34:10,657,461,,f
1000873,1003182,1001112,2022-11-09,04:43:57,434,462,460,f
1000875,1004326,1003011,2022-02-11,05:57:56,514,135,130,f
1000876,1001799,1000145,2020-10-02,16:02:29,798,433,410,f
1000877,1000023,1004400,2021-12-03,03:40:43,224,265,258,f
1000878,1000345,1000038,2018-05-12,22:40:18,223,53,43,t
1000882,1001075,1001825,2022-03-15,07:40:21,511,244,,t
1000885,1000840,1001891,2020-12-19,00:36:11,800,129,,t
1000888,1000917,1000388,2020-01-09,12:31:06,352,491,465,f
1000898,1001159,1004259,2022-10-06,07:55:54,147,30,21,t
1000899,1001764,1004265,2021-06-02,04:40:43,417,394,383,t
1000904,1000706,1004664,2019-12-05,16:43:14,106,473,469,f
1000906,1002057,1002973,2016-12-05,06:41:57,599,96,,f
1000910,1000959,1002120,2021-08-04,12:27:07,375,146,,f
1000912,1001993,1003922,2022-10-02,16:29:55,600,265,264,f
1000913,1004886,1000910,2017-12-02,12:46:28,868,447,437,t
1000915,1002310,1003613,2019-08-14,01:26:54,454,418,,f
1000916,1001349,1000473,2022-10-05,22:00:21,425,372,355,f
1000917,1000268,1000620,2020-01-10,10:25:51,500,269,263,f
1000922,1003594,1003502,2021-08-28,15:58:58,633,129,124,t
1000924,1003623,1004017,2022-05-19,10:18:08,131,327,314,f
1000925,1001823,1004317,2019-12-09,00:24:52,702,487,475,t
1000927,1003482,1001735,2018-11-22,03:03:55,916,42,40,f
1000929,1004976,1003806,2019-06-04,01:23:05,223,241,214,t
1000932,1004479,1004226,2019-03-31,07:17:03,127,220,219,f
1000943,1004651,1003197,2017-08-04,11:56:42,795,84,,f
1000963,1002283,1004379,2018-03-14,16:36:40,874,58,50,f
1000965,1003017,1002481,2016-05-24,06:07:15,820,391,386,f
1000967,1000351,1002336,2018-05-19,08:35:33,981,17,,t
1000968,1003556,1003585,2022-09-18,02:32:43,504,323,322,f
1000970,1004176,1003492,2019-08-04,22:20:59,263,406,370,t
1000973,1001885,1001232,2017-02-27,13:41:06,478,377,368,t
1000976,1004460,1003176,2019-10-13,16:33:42,751,481,474,t
1000977,1003806,1003007,2019-06-04,03:00:46,57,402,388,f
1000979,1001960,1004174,2018-05-07,08:18:30,315,291,273,t
1000980,1001521,1002942,2019-08-18,14:57:08,697,96,,f
1000987,1004891,1004753,2022-09-06,00:34:39,610,48,,t
1000988,1000613,1003970,2022-11-25,03:25:42,963,50,36,t
1000989,1001453,1001153,2022-07-01,13:32:12,494,304,,f
1000992,1004831,1000566,2021-01-15,14:23:46,60,356,355,f
1000993,1003019,1000881,2022-10-18,20:23:53,741,417,404,t
1000994,1001100,1000985,2019-02-20,05:46:25,908,266,260,t
1000995,1003652,1000806,2020-11-10,04:53:54,666,29,28,t
1000996,1002387,1004521,2022-11-04,07:42:24,986,276,262,f
1001000,1002548,1000293,2022-05-20,17:51:42,190,245,,f
1001001,1002655,1000643,2022-04-06,01:39:16,223,495,482,t
1001008,1002949,1004465,2022-07-20,00:03:55,39,77,,t
1001009,1003262,1001958,2016-06-02,14:02:18,712,402,397,f
1001011,1004403,1004959,2017-09-14,17:38:07,743,62,59,f
1001013,1000922,1002524,2021-09-30,08:25:19,183,275,274,f
1001017,1000698,1002726,2017-11-07,16:27:01,824,339,325,t
1001018,1000836,1002742,2021-08-20,05:02:09,621,283,274,f
1001022,1002137,1003933,2020-02-17,00:38:09,605,296,286,t
1001024,1002460,1000576,2017-12-08,06:13:07,365,138,129,f
1001025,1001931,1002489,2021-10-06,21:04:20,450,277,263,t
1001026,1000425,1001759,2021-08-12,23:59:51,245,168,165,f
1001027,1003966,1000547,2022-03-29,16:25:28,203,370,349,t
1001032,1001958,1004793,2022-03-28,20:19:38,193,402,395,f
1001034,1000310,1004570,2018-04-14,22:35:55,261,185,180,t
1001035,1002581,1003869,2019-06-08,15:16:47,36,67,51,t
1001036,1001887,1003476,2017-11-29,05:39:40,908,117,,f
1001038,1003643,1002920,2021-11-12,16:42:55,414,441,432,f
1001041,1001533,1002764,2021-03-30,12:21:56,106,54,49,t
1001042,1003823,1001123,2020-12-08,13:18:53,568,180,171,f
1001043,1002370,1004723,2022-01-08,09:42:13,796,280,,t
1001045,1003656,1000294,2021-05-08,08:16:44,60,144,137,t
1001046,1003412,1001438,2022-05-29,07:43:28,590,275,,f
1001047,1003730,1001437,2021-10-09,08:01:07,14,330,327,f
