event_id,event_name,event_type,duration,start_date,end_date,event_creater,rating
1000033,Upupa epops,Play,179,2016-03-01,2023-06-20,1003730,3.4
1000034,Canis aureus,Concert,42,2016-07-10,2024-07-12,1001075,1.8
1000035,Theropithecus gelada,Concert,299,2019-12-08,2025-02-09,1003171,2.5
1000036,Choloepus hoffmani,Play,81,2021-12-02,2023-07-15,1001194,1.0
1000037,Trachyphonus vaillantii,Stand-up,233,2019-04-29,2023-10-31,1000154,3.8
1000038,Gymnorhina tibicen,Concert,107,2017-09-24,2025-08-03,1003532,3.9
1000039,Terathopius ecaudatus,Movie,268,2017-09-01,2024-02-07,1002723,1.6
1000040,Uraeginthus bengalus,Concert,231,2020-09-14,2025-11-24,1001026,3.6
1000041,Oreamnos americanus,Play,246,2023-03-08,2025-04-12,1001190,4.6
1000042,Felis pardalis,Concert,297,2022-06-19,2024-01-02,1003398,1.0
1000043,Milvus migrans,Stand-up,52,2020-08-04,2025-02-16,1001444,2.3
1000044,Paradoxurus hermaphroditus,Movie,205,2018-04-29,2024-09-04,1002851,4.0
1000045,Lepilemur rufescens,Play,30,2016-08-14,2025-05-26,1000907,4.3
1000046,Dasypus septemcincus,Stand-up,113,2020-06-18,2025-09-13,1004361,3.7
1000047,Cracticus nigroagularis,Movie,285,2015-12-31,2024-06-28,1002760,2.1
1000048,Tockus erythrorhyncus,Movie,126,2023-01-14,2023-11-22,1001611,1.2
1000049,Platalea leucordia,Stand-up,242,2022-04-02,2025-07-20,1001411,4.0
1000050,Isoodon obesulus,Concert,84,2023-02-11,2025-06-12,1002711,1.3
1000051,Spermophilus richardsonii,Movie,30,2017-02-24,2025-06-28,1001920,4.2
1000052,Madoqua kirkii,Movie,205,2022-09-23,2024-02-10,1000271,4.5
1000053,Loris tardigratus,Concert,295,2019-06-26,2023-10-18,1002739,4.6
1000054,Canis aureus,Concert,199,2018-02-01,2024-10-04,1003363,4.4
1000055,Haematopus ater,Concert,219,2019-06-03,2024-10-02,1002295,1.4
1000056,Melanerpes erythrocephalus,Concert,123,2017-04-22,2023-09-13,1004870,3.5
1000057,Felis silvestris lybica,Play,173,2023-09-22,2024-06-13,1001932,4.6
1000058,Eumetopias jubatus,Stand-up,36,2019-06-16,2024-06-08,1003793,1.3
1000059,Sus scrofa,Stand-up,39,2018-04-01,2024-08-03,1004722,1.2
1000060,Columba livia,Concert,106,2022-10-07,2025-01-04,1004531,4.8
1000061,Otocyon megalotis,Stand-up,39,2017-03-29,2024-01-18,1004418,4.2
1000062,Leptoptilus dubius,Play,261,2016-07-21,2025-11-22,1000011,1.6
1000063,Coluber constrictor,Movie,133,2017-12-26,2025-04-06,1000629,1.4
1000064,Geococcyx californianus,Stand-up,249,2021-10-27,2025-08-05,1003589,4.3
1000065,Axis axis,Movie,242,2018-01-15,2024-08-26,1003200,1.7
1000066,Hystrix cristata,Play,104,2021-12-08,2024-11-20,1002102,3.2
1000067,Cathartes aura,Movie,31,2016-02-24,2024-02-12,1004862,2.1
1000068,Sciurus vulgaris,Concert,300,2015-12-10,2025-10-10,1004840,1.5
1000069,Anser anser,Play,128,2019-12-30,2023-11-30,1000177,2.8
1000070,Libellula quadrimaculata,Concert,259,2020-12-01,2025-04-03,1004873,4.2
1000071,Dicrostonyx groenlandicus,Play,284,2019-11-29,2025-03-26,1003279,3.5
1000072,Callipepla gambelii,Stand-up,125,2023-08-01,2025-01-08,1001429,4.8
1000073,Ramphastos tucanus,Concert,283,2022-08-15,2025-09-29,1001990,2.3
1000074,Chionis alba,Concert,168,2020-10-19,2024-06-06,1001209,4.1
1000075,Ovis dalli stonei,Movie,244,2022-12-31,2023-11-28,1002799,2.2
1000076,Ceratotherium simum,Stand-up,244,2016-06-01,2023-10-08,1000767,3.3
1000077,Alcelaphus buselaphus caama,Play,45,2018-01-07,2024-01-14,1002671,4.3
1000078,Axis axis,Movie,142,2018-01-07,2023-06-07,1004175,4.5
1000079,Dicrostonyx groenlandicus,Concert,30,2017-10-16,2023-07-21,1001224,2.1
1000080,Pavo cristatus,Play,296,2016-04-19,2025-07-14,1004755,1.9
1000081,Lasiodora parahybana,Play,114,2018-05-17,2023-09-15,1001240,4.0
1000082,Chelodina longicollis,Play,299,2023-10-18,2025-04-03,1003166,1.8
1000083,Neophron percnopterus,Play,218,2017-09-29,2023-11-27,1004911,2.7
1000084,Capra ibex,Play,123,2021-02-23,2024-02-01,1000134,3.3
1000085,Bradypus tridactylus,Play,197,2019-05-13,2025-10-04,1004426,2.9
1000086,Haematopus ater,Concert,30,2022-09-11,2023-06-26,1003531,2.2
1000087,Equus hemionus,Stand-up,299,2017-11-06,2024-10-15,1003022,3.0
1000088,Ceratotherium simum,Play,48,2016-02-22,2024-05-06,1003671,3.2
1000089,Chloephaga melanoptera,Stand-up,80,2018-02-26,2024-07-24,1001416,3.5
1000090,Uraeginthus granatina,Stand-up,270,2020-01-17,2023-12-17,1000441,4.6
1000091,Felis silvestris lybica,Movie,89,2021-11-28,2025-06-23,1001013,1.5
1000092,Spizaetus coronatus,Stand-up,134,2023-02-16,2023-07-02,1003959,3.7
1000093,Gorilla gorilla,Stand-up,138,2022-08-20,2024-11-29,1001779,3.6
1000094,Climacteris melanura,Play,57,2017-09-03,2023-08-13,1004166,1.1
1000095,Varanus sp.,Concert,100,2016-09-21,2024-07-28,1004109,1.6
1000096,Oncorhynchus nerka,Stand-up,231,2016-03-04,2023-12-17,1001919,3.6
1000097,Papio cynocephalus,Stand-up,177,2017-08-16,2023-12-11,1000156,4.2
1000098,Mirounga leonina,Play,198,2021-12-08,2023-07-11,1003338,1.9
1002329,Skalith,Play,269,2022-06-03,2023-06-23,1004126,2.3
1000099,Ovis ammon,Concert,105,2018-02-13,2025-06-06,1000332,2.4
1000100,Ara chloroptera,Movie,43,2016-01-17,2025-02-13,1001854,4.6
1000101,Grus canadensis,Movie,267,2017-03-25,2025-06-15,1002646,2.5
1000102,Cervus elaphus,Play,128,2022-03-07,2024-08-15,1003901,5.0
1000103,Ratufa indica,Play,179,2019-12-22,2024-09-13,1004298,2.5
1000104,unavailable,Movie,166,2019-07-09,2025-02-14,1001770,3.2
1000105,Agelaius phoeniceus,Movie,261,2018-06-11,2025-07-11,1000392,4.4
1000106,Spermophilus tridecemlineatus,Concert,118,2023-07-31,2024-10-31,1002720,1.7
1000107,Lamprotornis superbus,Stand-up,192,2020-03-05,2025-10-08,1004399,4.9
1000108,Francolinus swainsonii,Play,165,2022-12-10,2024-07-16,1003945,1.6
1000109,unavailable,Movie,254,2020-05-06,2025-01-12,1001251,2.7
1000110,Felis wiedi or Leopardus weidi,Play,131,2022-01-13,2024-12-29,1001488,3.8
1000111,Paroaria gularis,Concert,147,2020-11-21,2025-11-15,1004432,2.9
1000112,Dendrocygna viduata,Play,56,2016-06-11,2024-11-16,1004888,2.7
1000113,Spizaetus coronatus,Movie,113,2019-01-22,2023-10-15,1001990,2.5
1000114,Centrocercus urophasianus,Play,67,2018-09-18,2024-01-03,1002159,4.0
1000115,Echimys chrysurus,Concert,58,2018-07-04,2023-11-02,1000832,3.5
1000116,Stercorarius longicausus,Concert,260,2020-09-14,2025-07-04,1004905,4.9
1000117,Epicrates cenchria maurus,Concert,190,2020-01-17,2025-09-23,1000291,2.4
1000118,Porphyrio porphyrio,Play,140,2020-10-25,2023-10-23,1000383,2.1
1000119,Canis aureus,Movie,284,2017-05-29,2024-05-22,1001737,1.7
1000120,Phalacrocorax niger,Movie,197,2022-02-13,2024-02-11,1004602,2.1
1000121,Dusicyon thous,Movie,48,2017-11-14,2024-04-08,1004162,2.3
1000122,Mephitis mephitis,Play,195,2019-12-04,2025-04-05,1002465,2.2
1000123,Francolinus swainsonii,Concert,249,2017-07-27,2025-05-22,1004865,1.9
1000124,Pteronura brasiliensis,Play,67,2021-03-09,2024-07-12,1003449,2.0
1000125,Tauraco porphyrelophus,Stand-up,223,2016-06-26,2024-02-04,1000222,3.7
1000126,Eudyptula minor,Stand-up,272,2017-06-12,2024-11-21,1000100,2.4
1000127,unavailable,Play,98,2016-08-11,2025-10-09,1001270,1.6
1000128,Graspus graspus,Movie,207,2017-01-23,2024-07-11,1003691,4.0
1000129,Globicephala melas,Stand-up,86,2020-06-29,2023-08-19,1004016,4.3
1000130,Rana sp.,Stand-up,259,2021-11-27,2025-10-04,1004955,4.3
1000131,Varanus sp.,Concert,213,2022-08-21,2025-05-22,1003841,2.6
1000132,Pycnonotus nigricans,Stand-up,85,2023-10-26,2023-11-16,1003671,3.0
1000133,Alectura lathami,Play,233,2021-09-07,2023-12-27,1002254,2.4
1000134,Meleagris gallopavo,Concert,235,2020-03-27,2025-03-27,1001895,3.7
1000135,Bucorvus leadbeateri,Movie,190,2019-11-01,2023-06-27,1004613,2.8
1000137,Rangifer tarandus,Movie,200,2022-08-04,2025-04-04,1002868,4.4
1000138,Felis caracal,Stand-up,197,2020-10-24,2025-02-06,1004837,1.3
1000139,Diomedea irrorata,Stand-up,82,2019-12-17,2023-08-14,1000884,4.0
1000140,Cynomys ludovicianus,Stand-up,227,2016-05-20,2024-09-09,1004018,2.1
1000141,Manouria emys,Stand-up,93,2017-12-16,2025-08-14,1004140,4.4
1000142,Cercatetus concinnus,Stand-up,38,2018-10-28,2024-08-12,1003871,4.4
1000143,Tachyglossus aculeatus,Concert,275,2023-01-17,2024-12-08,1001659,2.8
1000144,Ovis musimon,Movie,55,2018-04-17,2025-11-11,1001587,4.2
1000145,Sula dactylatra,Play,119,2020-05-01,2023-07-04,1003558,4.8
1000146,Recurvirostra avosetta,Play,259,2023-07-24,2024-04-17,1001607,3.8
1000147,Larus fuliginosus,Movie,272,2017-03-13,2024-12-26,1004947,3.3
1000148,Uraeginthus angolensis,Stand-up,205,2022-08-01,2025-11-09,1003880,2.8
1000149,Alopex lagopus,Concert,49,2021-10-28,2025-06-04,1002595,4.4
1000150,Spizaetus coronatus,Movie,290,2022-06-25,2025-02-22,1003264,2.2
1000151,Zenaida galapagoensis,Stand-up,260,2022-07-15,2025-02-27,1002485,2.9
1000152,Diceros bicornis,Play,199,2022-11-12,2023-07-02,1003787,4.6
1000153,Crotalus triseriatus,Concert,197,2019-02-06,2025-04-06,1002323,1.6
1000154,Tockus flavirostris,Stand-up,191,2021-08-16,2025-11-19,1002237,1.8
1000155,Phalacrocorax niger,Movie,261,2019-06-18,2025-05-31,1000653,3.7
1000156,Corythornis cristata,Concert,117,2018-11-27,2024-05-19,1000378,1.5
1000157,Laniarius ferrugineus,Stand-up,39,2018-03-03,2025-02-28,1003282,2.3
1000158,Anhinga rufa,Stand-up,243,2021-10-16,2024-10-19,1003883,1.4
1000159,Buteo jamaicensis,Play,179,2019-06-27,2025-10-28,1004960,4.1
1000160,Haematopus ater,Play,32,2021-06-14,2024-10-19,1002077,3.4
1000161,Capra ibex,Concert,254,2016-07-31,2023-09-30,1001188,4.5
1000162,Gorilla gorilla,Stand-up,112,2022-05-08,2024-02-17,1002979,1.9
1000163,Butorides striatus,Play,196,2020-09-26,2025-01-16,1004151,3.0
1000164,Castor canadensis,Play,299,2020-12-01,2025-11-02,1000018,1.1
1000165,Francolinus swainsonii,Movie,252,2023-06-18,2023-11-14,1000485,3.0
1000166,Ardea cinerea,Play,179,2021-11-10,2025-04-05,1001132,3.5
1000167,Laniaurius atrococcineus,Concert,227,2016-11-21,2025-06-23,1003357,4.5
1000168,Bison bison,Movie,146,2020-02-04,2025-05-14,1004717,2.8
1000169,Marmota caligata,Stand-up,207,2019-02-18,2025-04-24,1004602,1.5
1000170,Petaurus breviceps,Play,253,2016-01-03,2024-09-11,1004969,4.4
1000172,Nasua narica,Play,86,2020-03-16,2024-08-22,1003372,1.6
1000173,Nycticorax nycticorax,Play,285,2017-08-01,2025-01-27,1001350,1.7
1000174,Eolophus roseicapillus,Stand-up,280,2022-04-01,2024-08-09,1003589,4.6
1000175,Phacochoerus aethiopus,Stand-up,66,2022-12-05,2025-09-29,1004232,2.4
1000176,Vulpes vulpes,Concert,90,2016-01-06,2023-07-27,1003882,3.0
1000177,Cynomys ludovicianus,Concert,31,2020-10-11,2025-06-11,1004971,4.6
1000178,Pelecanus occidentalis,Stand-up,263,2021-12-29,2025-06-26,1004725,4.2
1000179,Sula dactylatra,Play,107,2019-03-27,2025-07-30,1002436,3.3
1000180,Eudyptula minor,Play,50,2020-02-08,2024-01-13,1003137,3.2
1000181,Caiman crocodilus,Concert,206,2018-10-03,2025-08-10,1000472,1.0
1000182,Galago crassicaudataus,Movie,287,2016-09-21,2025-03-12,1000365,1.7
1000183,Francolinus leucoscepus,Movie,211,2022-03-09,2025-05-14,1000741,3.5
1000184,Butorides striatus,Concert,50,2022-08-20,2025-04-03,1001802,1.4
1000185,Calyptorhynchus magnificus,Movie,144,2016-11-09,2023-07-06,1001837,2.3
1000186,Phascolarctos cinereus,Movie,148,2022-01-13,2025-08-28,1000825,1.9
1000187,Leptoptilus dubius,Play,95,2019-06-27,2023-11-18,1001821,4.0
1000188,Sterna paradisaea,Play,152,2016-10-01,2025-04-02,1002379,2.7
1000189,Nannopterum harrisi,Play,229,2017-09-16,2024-08-06,1000976,2.5
1000190,Choriotis kori,Stand-up,123,2023-09-10,2024-03-28,1000809,4.1
1000191,Crotalus adamanteus,Stand-up,188,2018-11-08,2024-12-07,1002374,1.5
1000192,Dendrocygna viduata,Concert,120,2019-08-17,2024-06-02,1000251,2.7
1000193,Vanellus chilensis,Movie,122,2022-06-23,2023-11-29,1004602,3.8
1000194,Geochelone elephantopus,Movie,83,2019-03-05,2024-02-15,1001022,1.1
1000195,Propithecus verreauxi,Movie,65,2016-11-29,2023-08-06,1002394,2.3
1000196,Larus fuliginosus,Play,150,2017-06-09,2024-01-14,1000496,1.8
1000197,Trichoglossus haematodus moluccanus,Play,211,2020-11-09,2024-02-08,1004155,4.2
1000198,Gorilla gorilla,Movie,138,2016-02-11,2024-06-27,1002197,1.9
1000199,Himantopus himantopus,Play,180,2017-03-25,2024-07-29,1004121,4.8
1000200,Hymenolaimus malacorhynchus,Movie,234,2019-02-12,2025-01-12,1002835,4.9
1000201,Petaurus breviceps,Concert,265,2016-01-06,2025-05-03,1003588,3.6
1000202,Chauna torquata,Movie,280,2022-03-31,2023-10-20,1001646,3.7
1000203,Cereopsis novaehollandiae,Movie,251,2021-03-20,2024-05-24,1004721,2.1
1000204,Varanus salvator,Play,247,2016-03-01,2025-03-07,1000296,4.6
1000205,Tockus flavirostris,Movie,42,2017-01-24,2025-04-11,1003628,1.1
1000206,Platalea leucordia,Movie,254,2020-06-24,2025-01-02,1002097,1.6
1000207,Colobus guerza,Concert,210,2022-09-05,2023-07-01,1002576,1.6
1000208,Acridotheres tristis,Concert,77,2018-09-23,2024-06-27,1000999,3.2
1000209,Hymenolaimus malacorhynchus,Play,202,2019-12-25,2024-04-26,1000707,1.3
1000210,Coendou prehensilis,Stand-up,296,2016-11-19,2024-12-28,1001336,2.8
1000211,Naja haje,Play,260,2018-11-13,2024-10-26,1004550,2.9
1000212,Varanus salvator,Play,232,2022-07-10,2024-08-08,1000661,2.8
1000213,Ceryle rudis,Stand-up,255,2021-03-20,2024-10-12,1000985,3.1
1000214,Pelecanus conspicillatus,Movie,254,2017-06-27,2025-04-26,1000402,1.0
1000215,Eira barbata,Concert,162,2021-04-19,2024-10-05,1004480,2.4
1000216,Diomedea irrorata,Movie,32,2016-03-29,2023-10-07,1002040,2.1
1000217,Ninox superciliaris,Play,298,2021-08-03,2025-08-01,1001078,2.7
1000218,Larus fuliginosus,Movie,201,2019-05-02,2024-04-16,1003846,2.5
1000219,Cacatua tenuirostris,Movie,97,2022-12-11,2025-02-28,1000650,4.3
1000220,Alopex lagopus,Concert,208,2020-04-16,2025-05-29,1004240,3.4
1000221,Lamprotornis sp.,Movie,215,2019-09-16,2024-06-08,1004961,4.9
1000222,Sceloporus magister,Play,293,2023-01-31,2025-09-13,1002484,2.3
1000223,Cochlearius cochlearius,Stand-up,233,2023-05-02,2023-08-14,1000233,5.0
1000224,Stenella coeruleoalba,Concert,171,2017-07-15,2024-04-09,1003738,1.7
1000225,Leptoptilos crumeniferus,Concert,265,2017-11-02,2024-08-29,1004220,1.9
1000226,Vulpes cinereoargenteus,Concert,166,2021-09-12,2025-08-16,1000720,2.8
1000227,Heloderma horridum,Movie,51,2023-09-13,2024-08-27,1003044,1.8
1000228,Papilio canadensis,Movie,264,2023-07-26,2024-12-16,1001960,3.0
1000229,Vulpes vulpes,Concert,32,2022-03-20,2023-08-03,1003470,2.3
1000230,Pseudalopex gymnocercus,Stand-up,221,2023-10-08,2023-12-15,1000480,1.3
1000231,Speothos vanaticus,Concert,282,2017-08-21,2025-03-13,1001040,2.9
1000232,Meleagris gallopavo,Movie,276,2021-12-04,2024-12-08,1003462,1.5
1000233,Rhea americana,Concert,101,2020-01-14,2025-06-24,1004548,2.6
1000234,Mazama americana,Concert,78,2021-03-14,2024-01-15,1000952,1.2
1000235,Carduelis pinus,Stand-up,226,2022-12-17,2025-01-21,1004506,4.1
1000236,Hippotragus niger,Stand-up,170,2016-12-31,2024-07-29,1000562,1.9
1000237,Cacatua tenuirostris,Movie,258,2020-05-30,2023-07-06,1002409,1.5
1000238,Vulpes vulpes,Movie,37,2016-07-04,2024-10-21,1002342,2.2
1000239,Egretta thula,Stand-up,191,2020-05-21,2023-09-19,1003415,2.4
1000240,Anhinga rufa,Movie,154,2023-09-22,2024-08-04,1004110,2.1
1000241,Bison bison,Movie,91,2020-01-16,2024-03-13,1003243,3.8
1000242,Loxodonta africana,Movie,207,2019-04-02,2025-08-08,1000794,2.6
1000243,Dendrocygna viduata,Concert,141,2018-09-10,2025-08-30,1003200,2.9
1000244,Porphyrio porphyrio,Concert,238,2019-06-22,2024-01-22,1000556,3.6
1000245,Cynomys ludovicianus,Stand-up,261,2019-09-26,2025-07-20,1004106,4.9
1000246,Colaptes campestroides,Play,62,2019-06-12,2024-03-25,1004245,2.6
1000247,Psophia viridis,Play,166,2020-08-05,2025-11-21,1002747,2.1
1000248,Aegypius tracheliotus,Stand-up,228,2023-08-19,2024-09-21,1000586,4.9
1000249,Procyon lotor,Stand-up,160,2018-02-08,2024-02-22,1004494,3.6
1000250,Merops nubicus,Play,258,2022-01-13,2024-03-10,1002086,2.6
1000251,Aquila chrysaetos,Play,262,2020-12-15,2024-11-18,1003868,2.1
1002287,Oodoo,Movie,189,2018-02-23,2023-11-14,1003481,3.4
1000252,Dicrostonyx groenlandicus,Concert,37,2022-04-04,2024-05-25,1004803,1.9
1000253,Dacelo novaeguineae,Concert,216,2022-04-25,2025-10-21,1004185,2.6
1000254,Phaethon aethereus,Stand-up,254,2018-06-05,2024-02-15,1004493,4.8
1000255,Varanus sp.,Stand-up,60,2020-04-05,2025-10-13,1000546,2.4
1000256,Canis latrans,Movie,84,2017-03-15,2024-07-08,1002389,3.6
1000257,Alopex lagopus,Play,37,2022-11-03,2025-11-25,1003237,2.6
1000258,Catharacta skua,Stand-up,155,2022-07-25,2023-09-02,1001816,3.9
1000259,Mungos mungo,Play,57,2020-11-19,2024-11-02,1002201,4.8
1000260,Estrilda erythronotos,Movie,151,2018-08-02,2024-10-01,1004560,4.7
1000261,Acrantophis madagascariensis,Play,289,2017-02-15,2025-04-13,1000994,3.2
1000262,Suricata suricatta,Movie,136,2020-04-09,2024-08-19,1004368,3.2
1000263,Gymnorhina tibicen,Stand-up,206,2016-02-05,2025-01-22,1000781,4.6
1000264,Bison bison,Concert,278,2018-01-10,2023-08-01,1002676,1.1
1000265,Rhea americana,Concert,208,2021-03-20,2025-05-09,1000957,3.8
1000266,Vicugna vicugna,Stand-up,276,2016-11-09,2024-08-10,1001575,4.8
1000267,Haliaeetus leucoryphus,Concert,163,2021-02-08,2024-08-21,1002709,2.1
1000268,Lorythaixoides concolor,Stand-up,129,2018-05-14,2025-10-13,1003578,2.9
1000269,Bison bison,Movie,100,2020-03-31,2023-11-24,1003736,3.8
1000270,Dendrocitta vagabunda,Movie,161,2023-05-04,2025-08-04,1003922,3.1
1000271,Spilogale gracilis,Concert,233,2018-09-11,2024-05-14,1004627,1.9
1000272,Zosterops pallidus,Movie,286,2019-01-20,2025-06-17,1002205,2.9
1000273,Streptopelia senegalensis,Play,170,2020-08-13,2025-05-15,1000316,1.5
1000274,Varanus salvator,Concert,83,2018-09-03,2024-05-06,1000298,4.0
1000275,Ramphastos tucanus,Play,112,2016-09-24,2024-06-16,1003966,1.9
1000276,Geochelone elegans,Concert,111,2018-08-10,2025-01-08,1002325,3.4
1000277,Grus antigone,Movie,43,2020-05-23,2025-02-15,1004108,1.8
1000278,Corvus brachyrhynchos,Concert,260,2023-05-15,2023-06-05,1002346,3.9
1000279,unavailable,Concert,276,2017-01-02,2025-05-11,1002522,2.4
1000280,Marmota flaviventris,Movie,75,2016-04-29,2025-06-08,1000042,2.2
