rent_id,event_id,rent_price,rent_duration,available
1000209,1003206,452,3,f
1000210,1001070,36,14,f
1000211,1001038,836,3,t
1000212,1000016,865,28,t
1000213,1001525,385,5,f
1000214,1002404,277,4,f
1000215,1001755,14,28,f
1000216,1001151,866,4,t
1000217,1001280,871,365,f
1000218,1002236,829,5,f
1000219,1001481,16,2,t
1000220,1001082,985,14,t
1000221,1003830,626,28,t
1000222,1003417,170,14,t
1000223,1000261,548,7,f
1000224,1001495,757,28,t
1000225,1000807,359,365,f
1000226,1004103,652,3,t
1000227,1000404,851,365,f
1000228,1003495,716,28,t
1000229,1001942,706,1,t
1000230,1000538,971,4,f
1000231,1002989,58,365,t
1000232,1004991,294,14,t
1000233,1004918,522,365,t
1000234,1002719,215,28,t
1000235,1002745,584,365,f
1000236,1004854,380,2,t
1000237,1003205,365,1,t
1000238,1003547,535,3,f
1000239,1001181,604,14,t
1000240,1000249,697,28,f
1000241,1002183,147,1,f
1000242,1001723,285,28,f
1000243,1004641,63,28,f
1000244,1004404,398,365,f
1000245,1000391,123,1,f
1000246,1003288,910,1,f
1000247,1001683,516,145,f
1000248,1003641,790,1,f
1000249,1003156,470,145,f
1000250,1002595,728,2,f
1000251,1001073,669,2,t
1000252,1003864,197,7,f
1000253,1000979,818,28,f
1000254,1000839,866,3,f
1000255,1002950,62,2,t
1000256,1001649,114,4,t
1000257,1004510,503,5,t
1000258,1000949,135,145,t
1000259,1000919,615,2,f
1000260,1001091,233,3,f
1000261,1002624,183,28,t
1000262,1002991,554,365,t
1000263,1003479,691,1,f
1000264,1004708,170,1,f
1000265,1004131,758,145,f
1000266,1001781,683,1,t
1000267,1003884,502,1,t
1000268,1000832,251,5,t
1000269,1002112,39,365,f
1000270,1004484,843,3,f
1000271,1001265,573,3,f
1000272,1001022,641,7,t
1000273,1004955,76,4,t
1000274,1003640,892,1,f
1000275,1002914,664,2,f
1000276,1004150,121,3,f
1000277,1000354,267,3,f
1000278,1002198,246,3,f
1000279,1004714,286,4,t
1000280,1003225,301,7,f
1000281,1002989,575,3,t
1000282,1001951,659,2,f
1000283,1003092,247,3,t
1000284,1002889,179,14,t
1000285,1003692,95,4,t
1000286,1003531,48,7,t
1000287,1000970,798,3,f
1000288,1000354,914,3,f
1000289,1000627,111,3,f
1000290,1003397,403,14,f
1000291,1002749,695,145,t
1000292,1001499,834,28,t
1000293,1004811,245,5,t
1000294,1003118,861,145,f
1000295,1003724,238,14,t
1000296,1003586,799,28,t
1000297,1001139,284,2,t
1000298,1001665,852,145,f
1000299,1002272,844,2,t
1000300,1004564,51,28,f
1000301,1003366,708,365,t
1000302,1004896,979,3,t
1000303,1003512,984,5,f
1000304,1002779,675,28,t
1000305,1003879,28,14,f
1000306,1000795,653,145,t
1000307,1001580,77,4,t
1000308,1002187,642,5,t
1000309,1001388,665,7,t
1000310,1001884,729,5,f
1000311,1000544,457,365,t
1000312,1002334,497,3,t
1000313,1001290,25,365,t
1000314,1000364,771,4,t
1000315,1000376,633,3,f
1000316,1003536,897,365,t
1000317,1000522,809,1,t
1000318,1004448,686,28,t
1000319,1004698,918,3,t
1000320,1004442,190,14,t
1000321,1004383,113,3,t
1000322,1000561,327,145,f
1000323,1004751,269,2,f
1000324,1004261,453,2,f
1000325,1001470,635,3,t
1000326,1003586,822,2,t
1000327,1002940,839,7,t
1000328,1003553,321,2,t
1000329,1001294,528,145,t
1000330,1004191,599,1,t
1000331,1003601,909,7,t
1000332,1002519,387,5,t
1000333,1003482,202,14,f
1000334,1001676,987,1,f
1000335,1004065,192,7,f
1000336,1003242,136,28,t
1000337,1004174,907,145,f
1000338,1001988,346,7,f
1000339,1000915,460,1,f
1000340,1003182,190,3,f
1000341,1002048,333,3,t
1000342,1003649,407,14,t
1000343,1003235,978,7,t
1000344,1004207,315,4,t
1000345,1001546,847,365,t
1000346,1001612,485,14,t
1000347,1001171,79,145,t
1000348,1002947,503,4,f
1000349,1001405,691,4,f
1000350,1004185,39,7,t
1000351,1001599,131,28,t
1000352,1004413,452,2,f
1000353,1003085,961,3,t
1000354,1003191,806,3,f
1000355,1004016,599,365,t
1000356,1000685,747,28,f
1000357,1002140,990,14,t
1000358,1003112,845,145,t
1000359,1002287,526,3,f
1000360,1002027,559,2,f
1000361,1001985,10,145,f
1000362,1004671,406,14,f
1000363,1000194,854,145,t
1000364,1003614,9,2,t
1000365,1000990,83,2,f
1000366,1000347,592,365,f
1000367,1003323,177,2,f
1000368,1002605,520,5,t
1000369,1001588,781,28,f
1000370,1001020,268,4,f
1000371,1004252,635,5,t
1000372,1002986,843,28,t
1000373,1003839,596,14,t
1000374,1001989,753,4,t
1000375,1003898,225,4,t
1000376,1001088,577,7,f
1000377,1004228,605,4,t
1000378,1004140,431,4,t
1000379,1004779,223,7,t
1000380,1003292,502,28,f
1000381,1001952,423,1,t
1000382,1000991,290,365,f
1000383,1004305,279,7,f
1000384,1003447,150,365,t
1000385,1004989,468,14,f
1000386,1004940,768,14,t
1000387,1002660,608,14,f
1000388,1004779,773,1,f
1000389,1001918,775,14,f
1000390,1002736,896,3,t
1000391,1001082,606,365,f
1000392,1002067,637,365,f
1000393,1000320,104,5,f
1000394,1000713,672,5,t
1000395,1001527,533,7,t
1000396,1001150,404,28,t
1000397,1003684,694,28,t
1000398,1004712,748,2,f
1000399,1001128,712,7,t
1000400,1002523,609,14,t
1000401,1002256,418,5,f
1000402,1001759,903,5,t
1000403,1004361,674,14,f
1000404,1004032,854,28,t
1000405,1002966,814,28,f
1000406,1003650,230,5,t
1000407,1003757,732,365,t
1000408,1001298,587,4,t
1000409,1002928,81,145,f
1000410,1003606,854,365,f
1000411,1001645,414,7,t
1000412,1004993,73,5,f
1000413,1000474,74,28,t
1000414,1004061,214,4,t
1000415,1003169,684,2,f
1000416,1002005,240,3,t
1000417,1000485,152,28,f
1000418,1000278,623,145,f
1000419,1003269,371,2,t
1000420,1003699,105,145,f
1000421,1000151,511,3,f
1000422,1003827,829,14,t
1000423,1000979,87,14,f
1000424,1001937,491,4,t
1000425,1002229,906,145,f
1000426,1002798,504,4,t
1000427,1003469,896,2,t
1000428,1003619,680,14,t
1000429,1001238,858,145,f
1000430,1000439,741,28,t
1000431,1004256,93,7,f
1000432,1003583,605,145,f
1000433,1001825,934,1,f
1000434,1002251,582,7,f
1000435,1000266,762,365,t
1000436,1000023,817,145,t
1000437,1004113,175,1,t
1000438,1002556,155,365,f
1000439,1004768,776,28,f
1000440,1004422,157,14,f
1000441,1002691,204,5,f
1000442,1002120,57,4,t
1000443,1001042,801,5,f
1000444,1000571,998,365,f
1000445,1004885,813,2,f
1000446,1000850,762,3,t
1000447,1002442,816,4,t
1000448,1003042,255,3,f
1000449,1003908,972,7,f
1000450,1004248,104,5,f
1000451,1001841,105,7,t
1000452,1004480,695,14,f
1000453,1003214,36,365,f
1000454,1003609,564,3,t
1000455,1000322,465,7,t
1000456,1004167,211,3,f
1000457,1003787,585,5,f
1000458,1001482,251,365,f
1000459,1001245,146,4,t
1000460,1003557,576,4,t
1000461,1004334,604,1,f
1000462,1002061,316,4,t
1000463,1004957,733,1,f
1000464,1004316,490,5,t
1000465,1003662,860,3,f
1000466,1003086,559,365,f
1000467,1001983,468,5,f
1000468,1003889,658,5,f
1000469,1004508,498,365,t
1000470,1004938,999,3,f
1000471,1001136,457,5,t
1000472,1002105,744,4,t
1000473,1003655,885,145,f
1000474,1003520,649,28,f
1000475,1000541,969,7,t
1000476,1003534,633,4,f
1000477,1001128,449,1,f
1000478,1003566,203,14,f
1000479,1001159,537,2,t
1000480,1004949,80,365,f
1000481,1004779,698,145,t
1000482,1004902,531,5,t
1000483,1004326,813,7,f
1000484,1004396,660,145,t
1000485,1004548,640,28,t
1000486,1004990,182,28,f
1000487,1000512,148,1,f
1000488,1004783,790,365,f
1000489,1001829,325,14,f
1000490,1004667,957,365,t
1000491,1000170,453,5,t
1000492,1002316,867,4,f
1000493,1000866,359,3,t
1000494,1003027,269,1,t
1000495,1003739,662,28,f
1000496,1004885,701,3,f
1000497,1001774,559,145,t
1000498,1003856,683,14,t
1000499,1002840,61,3,t
1000500,1000271,696,365,f
1000501,1000980,104,365,t
1000502,1001033,91,14,t
1000503,1002419,220,145,f
1000504,1001023,248,3,t
1000505,1003610,636,4,f
1000506,1003395,318,7,f
1000507,1003139,109,7,t
1000508,1001729,28,28,t
1000509,1002606,886,5,f
1000510,1004192,67,365,f
1000511,1000963,674,28,t
1000512,1001918,562,365,t
1000513,1003267,100,28,t
1000514,1002026,384,3,f
1000515,1003707,775,3,t
1000516,1003202,72,2,f
1000517,1004056,61,145,f
1000518,1003346,866,145,f
1000519,1003333,723,4,t
1000520,1004186,181,145,t
1000521,1001166,433,28,t
1000522,1004756,322,14,f
1000523,1000113,117,2,f
1000524,1003701,119,5,f
1000525,1004343,10,4,f
1000526,1000595,997,3,t
1000527,1003358,931,7,f
1000528,1002377,564,7,t
1000529,1004246,257,7,f
1000530,1000202,587,1,t
1000531,1003380,112,145,t
1000532,1000041,845,365,f
1000533,1004267,223,4,t
1000534,1004441,420,3,t
1000535,1003672,76,5,f
1000536,1004219,160,365,f
1000537,1004571,608,7,f
1000538,1000706,416,1,f
1000539,1002759,273,14,f
1000540,1001115,997,365,f
1000541,1002397,190,145,t
1000542,1003421,795,4,t
1000543,1000315,507,4,t
1000544,1000166,614,5,f
1000545,1004824,240,4,f
1000546,1004979,410,145,f
1000547,1002336,855,2,f
1000548,1004702,53,4,f
1000549,1003327,303,2,t
1000550,1001749,403,2,f
1000551,1004909,435,14,t
1000552,1001629,148,365,t
1000553,1004431,7,28,t
1000554,1004002,378,145,t
1000555,1000079,892,145,f
1000556,1003660,78,3,f
1000557,1003809,437,1,t
1000558,1002491,573,365,t
1000559,1001368,955,4,f
1000560,1000851,724,145,t
1000561,1001920,424,3,t
1000562,1000469,883,14,t
1000563,1002633,801,7,t
1000564,1003366,714,1,t
1000565,1000571,890,5,f
1000566,1000860,782,14,t
1000567,1004562,164,145,t
1000568,1000963,134,2,t
1000569,1004785,550,4,t
1000570,1002629,200,7,f
1000571,1003353,618,4,t
1000572,1004917,822,145,t
1000573,1004979,689,1,t
1000574,1002232,979,14,f
1000575,1002950,912,5,f
1000576,1002520,786,5,t
1000577,1000590,737,4,t
1000578,1003451,388,2,f
1000579,1000172,878,145,f
1000580,1003645,292,145,f
1000581,1004480,131,14,t
1000582,1003074,810,14,f
1000583,1001764,923,2,f
1000584,1000399,639,3,f
1000585,1000664,688,3,t
1000586,1001924,412,5,f
1000587,1002573,884,5,t
1000588,1000444,748,365,t
1000589,1002918,899,7,t
1000590,1004903,606,2,f
1000591,1003520,353,5,f
1000592,1002908,360,4,t
1000593,1004120,428,28,f
1000594,1002253,586,145,f
1000595,1003132,497,3,t
1000596,1004711,790,5,f
1000597,1002265,578,2,f
1000598,1000964,345,145,f
1000599,1002870,791,3,t
1000600,1004614,480,2,t
1000601,1002757,640,145,t
1000602,1001785,249,2,t
1000603,1002163,361,3,f
1000604,1003962,140,5,t
1000605,1002062,802,3,t
1000606,1004636,87,3,t
1000607,1000330,994,2,t
1000608,1000116,726,3,f
1000609,1000431,570,4,f
1000610,1000424,68,28,t
1000611,1003138,553,2,f
1000612,1002605,226,28,f
1000613,1000768,464,7,f
1000614,1004955,786,7,f
1000615,1001588,332,5,f
1000616,1004579,392,5,t
1000617,1000238,991,7,f
1000618,1000582,274,7,t
1000619,1004973,16,7,t
1000620,1002419,40,3,f
1000621,1001033,972,28,t
1000622,1002497,470,3,f
1000623,1004314,537,1,t
1000624,1000135,733,3,f
1000625,1002739,208,14,f
1000626,1002217,120,365,f
1000627,1001106,100,5,f
1000628,1000317,494,4,f
1000629,1002889,283,4,t
1000630,1001937,962,28,f
1000631,1002800,289,145,t
1000632,1000557,414,145,f
1000633,1004800,233,365,f
1000634,1002389,594,28,f
1000635,1004553,579,365,f
1000636,1001893,771,145,t
1000637,1002713,94,4,t
1000638,1003051,108,145,f
1000639,1003353,843,2,t
1000640,1004979,372,28,f
1000641,1003355,856,145,f
1000642,1001957,601,2,t
1000643,1000378,196,28,f
1000644,1001007,97,2,t
1000645,1003942,656,2,t
1000646,1001146,799,3,t
1000647,1000833,728,1,t
1000648,1004566,713,5,f
1000649,1004022,412,1,f
1000650,1002748,895,2,f
1000651,1003652,11,2,f
1000652,1002480,422,1,t
1000653,1001022,210,14,f
1000654,1003523,639,14,f
1000655,1002124,899,2,t
1000656,1002889,734,4,t
1000657,1000485,382,1,t
1000658,1002249,528,14,t
1000659,1000916,63,4,t
1000660,1001702,637,5,f
1000661,1002840,309,365,t
1000662,1002641,21,28,f
1000663,1004746,566,5,t
1000664,1004188,873,4,t
1000665,1001623,45,28,f
1000666,1000709,839,365,f
1000667,1002028,980,1,f
1000668,1000467,422,4,f
1000669,1000901,182,3,t
1000670,1001489,129,28,t
1000671,1000274,478,7,t
1000672,1003202,129,365,f
1000673,1001912,913,365,t
1000674,1001563,121,365,f
1000675,1003986,713,1,t
1000676,1003204,92,2,f
1000677,1002227,210,3,f
1000678,1004186,295,145,t
1000679,1000544,241,145,f
1000680,1004707,928,365,f
1000681,1004590,90,3,t
1000682,1003997,437,28,f
1000683,1004625,860,14,t
1000684,1000673,472,4,f
1000685,1004922,619,14,t
1000686,1000835,279,28,f
1000687,1000351,561,7,f
1000688,1003210,293,7,t
1000689,1000368,96,365,f
1000690,1002825,241,1,t
1000691,1003936,725,365,f
1000692,1002341,197,14,f
1000693,1003303,967,365,f
1000694,1004504,903,5,t
1000695,1002466,633,5,f
1000696,1001599,172,5,f
1000697,1000224,552,145,t
1000698,1000685,979,14,f
1000699,1002195,209,4,t
1000700,1001479,945,365,f
1000701,1004851,260,14,f
1000702,1003254,885,365,f
1000703,1003426,730,365,t
1000704,1000281,885,145,t
1000705,1001682,214,145,f
1000706,1003275,83,7,t
1000707,1001499,322,5,t
1000708,1003521,820,14,t
1000709,1004170,973,1,f
1000710,1003953,938,2,t
1000711,1003884,157,365,f
1000712,1003850,248,145,f
1000713,1000404,147,7,t
1000714,1003198,798,7,t
1000715,1004679,598,145,t
1000716,1004612,328,5,t
1000717,1002800,231,2,t
1000718,1003806,241,365,t
1000719,1002344,884,1,t
1000720,1001210,965,3,t
1000721,1000712,835,2,t
1000722,1003384,867,1,t
1000723,1000740,928,28,f
1000724,1004083,904,1,f
1000725,1000890,571,365,f
1000726,1000433,287,3,f
1000727,1003183,786,4,f
1000728,1002374,649,145,t
1000729,1002516,237,1,t
1000730,1000712,191,28,f
1000731,1002525,201,365,f
1000732,1001698,225,1,f
1000733,1001935,195,2,f
1000734,1002292,382,4,f
1000735,1003322,94,1,f
1000736,1001654,189,7,t
1000737,1004607,645,3,t
1000738,1000977,524,28,f
1000739,1001760,713,365,t
1000740,1003381,51,365,t
1000741,1004830,516,28,t
1000742,1001382,556,14,t
1000743,1004102,480,365,t
1000744,1001611,711,4,f
1000745,1001037,23,28,t
1000746,1003705,261,145,t
1000747,1000832,809,145,t
1000748,1002810,235,4,t
1000749,1000533,794,365,t
1000750,1001473,353,5,f
1000751,1002270,598,1,f
1000752,1000484,37,2,t
1000753,1001555,483,1,f
1000754,1002424,396,14,t
1000755,1000584,838,2,f
1000756,1003666,539,5,t
1000757,1002974,684,3,f
1000758,1004967,452,4,t
1000759,1000576,989,5,t
1000760,1003225,386,1,f
1000761,1003608,331,4,f
1000762,1002127,960,7,t
1000763,1003805,482,28,f
1000764,1001236,183,4,f
1000765,1001012,37,2,f
1000766,1001186,907,145,f
1000767,1002680,281,3,t
1000768,1004885,522,4,f
1000769,1001295,686,365,f
1000770,1002571,350,2,f
1000771,1001149,97,7,t
1000772,1003061,736,365,f
1000773,1004784,724,365,f
1000774,1002042,632,145,f
1000775,1004902,274,4,t
1000776,1004845,604,7,f
1000777,1002103,696,14,t
1000778,1004040,788,5,t
1000779,1003862,936,28,f
1000780,1003083,618,3,f
1000781,1002064,97,4,f
1000782,1002378,588,14,t
1000783,1004725,792,7,t
1000784,1004043,625,1,f
1000785,1001826,372,3,t
1000786,1000737,167,28,f
1000787,1003111,138,28,f
1000788,1000259,554,28,f
1000789,1004915,748,7,f
1000790,1000139,481,1,f
1000791,1000889,450,2,f
1000792,1000944,483,14,t
1000793,1000612,822,1,t
1000794,1004367,999,3,t
1000795,1004984,934,2,f
1000796,1000711,269,2,f
1000797,1003233,260,2,t
1000798,1001325,343,7,f
1000799,1003237,121,14,t
1000800,1002453,459,3,f
1000801,1000769,32,145,f
1000802,1001215,684,14,t
1000803,1001108,404,365,f
1000804,1003105,621,28,t
1000805,1000060,194,365,f
1000806,1004375,876,145,f
1000807,1004727,878,1,f
1000808,1003931,26,365,f
1000809,1000572,725,7,f
1000810,1000734,884,2,f
1000811,1002475,957,2,t
1000812,1000525,391,5,t
1000813,1003193,517,7,t
1000814,1004896,127,1,t
1000815,1003817,338,1,t
1000816,1004230,298,1,t
1000817,1001037,693,5,f
1000818,1004668,384,4,f
1000819,1003951,574,2,f
1000820,1004451,838,14,t
1000821,1004629,322,5,f
1000822,1003682,137,365,f
1000823,1003304,147,2,t
1000824,1001164,142,1,f
1000825,1000014,362,3,f
1000826,1003211,883,365,t
1000827,1001523,962,1,f
1000828,1004031,446,1,f
1000829,1001907,547,365,f
1000830,1001566,470,5,f
1000831,1003869,91,4,t
1000832,1001296,29,4,f
1000833,1000203,238,1,f
1000834,1004079,828,1,f
1000835,1002752,234,2,t
1000836,1004549,438,28,t
1000837,1004220,425,3,f
1000838,1004802,663,28,f
1000839,1002164,849,4,f
1000840,1000269,314,3,f
1000841,1004148,880,14,t
1000842,1000481,124,14,f
1000843,1000139,630,7,t
1000844,1001787,420,3,t
1000845,1004511,266,365,f
1000846,1003893,652,4,f
1000847,1003294,664,4,f
1000848,1002534,153,4,f
1000849,1003922,35,4,f
1000850,1003879,803,7,f
1000851,1002641,349,7,f
1000852,1003503,14,14,f
1000853,1002638,454,1,f
1000854,1003879,358,5,t
1000855,1003093,26,28,t
1000856,1004467,711,145,t
1000857,1003611,172,7,t
1000858,1001664,75,1,f
1000859,1001522,717,2,f
1000860,1002520,241,2,t
1000861,1003205,189,2,t
1000862,1000693,802,2,t
1000863,1000493,515,4,f
1000864,1000892,933,145,t
1000865,1002798,782,1,t
1000866,1000176,12,365,t
1000867,1002405,392,3,f
1000868,1002746,35,145,f
1000869,1000540,129,5,f
1000870,1001339,470,28,t
1000871,1003837,991,3,t
1000872,1000156,365,2,t
1000873,1000450,833,1,t
1000874,1001024,730,14,f
1000875,1000003,821,365,t
1000876,1003459,190,7,t
1000877,1000888,127,365,t
1000878,1000190,682,7,f
1000879,1000713,585,365,f
1000880,1001032,652,145,t
1000881,1001479,855,365,t
1000882,1002262,204,2,f
1000883,1004925,392,365,t
1000884,1004693,283,145,t
1000885,1002865,228,4,t
1000886,1004092,995,28,f
1000887,1002698,41,7,f
1000888,1000400,894,14,t
1000889,1004682,634,1,f
1000890,1003110,59,14,t
1000891,1003070,816,145,t
1000892,1000624,160,3,t
1000893,1000797,34,5,f
1000894,1003772,781,3,t
1000895,1003170,181,2,f
1000896,1000936,433,3,f
1000897,1000702,751,7,f
1000898,1003516,170,7,t
1000899,1003271,924,5,t
1000900,1003839,581,2,t
1000901,1000155,754,7,t
1000902,1003072,819,3,t
1000903,1002199,32,365,t
1000904,1003671,152,28,f
1000905,1001069,210,28,t
1000906,1003212,377,365,f
1000907,1003444,75,4,f
1000908,1004644,966,3,f
1000909,1001539,793,3,t
1000910,1001561,723,145,f
1000911,1002057,701,2,f
1000912,1003022,900,2,f
1000913,1001373,999,1,f
1000914,1004360,388,14,f
1000915,1000870,372,7,f
1000916,1002705,520,4,f
1000917,1002497,702,28,f
1000918,1002702,805,28,f
1000919,1002918,895,14,f
1000920,1002153,727,365,t
1000921,1001773,674,14,t
1000922,1004944,940,28,t
1000923,1003814,78,4,f
1000924,1001843,805,28,t
1000925,1001801,459,365,f
1000926,1004273,145,1,f
1000927,1004830,175,365,t
1000928,1003192,621,1,f
1000929,1001612,51,2,f
1000930,1004270,254,1,f
1000931,1000843,808,7,t
1000932,1001506,877,365,f
1000933,1000303,120,3,f
1000934,1000411,932,1,t
1000935,1004575,159,365,t
1000936,1003091,357,365,f
1000937,1002474,7,145,f
1000938,1004819,846,145,f
1000939,1001684,418,28,t
1000940,1003183,543,3,f
1000941,1003071,776,7,f
1000942,1002170,872,4,t
1000943,1002098,88,3,t
1000944,1001269,944,1,t
1000945,1003261,271,1,t
1000946,1002271,611,2,t
1000947,1002806,475,7,f
1000948,1001861,819,5,f
1000949,1003880,897,365,t
1000950,1002965,787,28,t
1000951,1001619,927,145,f
1000952,1001613,758,4,t
1000953,1001828,655,145,t
1000954,1004376,726,28,t
1000955,1001265,167,2,t
1000956,1002298,591,2,t
1000957,1001032,225,28,f
1000958,1001018,7,28,t
1000959,1000796,822,1,t
1000960,1003592,990,14,f
1000961,1004918,261,28,f
1000962,1004042,203,28,t
1000963,1002488,24,7,t
1000964,1001480,903,28,f
1000965,1004876,739,145,t
1000966,1002937,843,7,f
1000967,1002494,880,7,t
1000968,1004488,978,2,f
1000969,1002517,625,365,f
1000970,1003752,185,2,f
1000971,1002845,523,4,t
1000972,1004659,818,14,t
1000973,1003942,814,5,t
1000974,1001759,314,145,f
1000975,1001276,501,3,t
1000976,1000733,447,14,f
1000977,1003694,425,4,t
1000978,1004127,576,2,f
1000979,1000711,756,365,t
1000980,1002482,684,14,f
1000981,1003521,6,365,t
1000982,1001020,775,2,t
1000983,1000301,446,28,t
1000984,1002996,357,1,t
1000985,1001446,471,2,t
1000986,1000056,536,3,t
1000987,1004264,880,4,t
1000988,1001053,19,145,t
1000989,1004390,792,365,t
1000990,1000112,507,145,t
1000991,1003970,577,1,f
1000992,1002177,26,3,f
1000993,1003544,469,5,t
1000994,1004733,496,365,t
1000995,1002867,874,145,f
1000996,1001111,589,5,t
