venue_id,venue_name,address,zip_code,rating,company_id
1000056,Stang,2655 Kennedy Plaza,16505,3.5,1002170
1000057,Hanover,01 Huxley Place,73437,1.4,1002628
1000058,Sheridan,85557 Atwood Alley,78023,4.9,1000793
1000059,Vermont,8 Homewood Lane,49631,1.5,1002397
1000060,Moulton,30 Upham Plaza,27592,4.3,1003490
1000061,Holmberg,13308 Nelson Hill,26680,3.2,1000679
1000062,Johnson,068 Packers Plaza,67211,4.2,1000776
1000063,Vera,41 Mayer Center,44854,3.4,1002471
1000064,West,0 Boyd Crossing,92647,2.7,1001118
1000065,Lakewood Gardens,02646 Lien Alley,53502,4.1,1001632
1000066,Melvin,0 Hansons Park,27502,1.9,1004762
1000067,Schlimgen,3 Bobwhite Hill,49087,1.2,1004211
1000068,Darwin,55 Kennedy Lane,54928,3.8,1000940
1000069,Evergreen,212 American Ash Place,2702,3.2,1003430
1000070,Dakota,95318 Bonner Center,15701,4.5,1003340
1000071,Charing Cross,0168 Oak Valley Parkway,52647,1.5,1003815
1000072,Colorado,594 Garrison Court,50031,3.4,1004279
1000073,Lindbergh,129 Sunnyside Way,46706,1.3,1000862
1000074,Springview,25090 David Drive,2744,2.4,1003132
1000075,Portage,79050 Charing Cross Way,41621,3.2,1001201
1000076,Alpine,4121 Upham Pass,80825,2.0,1004177
1000077,Lakeland,28385 Dottie Trail,78024,1.4,1004115
1000078,Straubel,0 West Point,61744,3.7,1004396
1000079,Twin Pines,83 Lillian Lane,58752,2.6,1000351
1000080,Jackson,4382 Dennis Circle,37398,1.0,1004374
1000081,Surrey,47596 Havey Place,25560,1.7,1001560
1000082,Harbort,6905 Dahle Junction,50275,1.7,1004316
1000083,Barnett,86 Oneill Trail,3046,3.0,1004246
1000084,Sundown,98201 Hagan Junction,99034,2.0,1001677
1000085,Butterfield,3 Schlimgen Circle,24634,1.7,1000896
1000086,Sunnyside,4 Packers Way,34762,3.4,1004320
1000087,8th,09 Aberg Road,39567,3.2,1002681
1000088,Valley Edge,7 Summit Lane,54515,2.2,1004097
1000089,Di Loreto,5 Lakewood Gardens Avenue,54161,4.1,1002743
1000090,Dottie,55681 Algoma Crossing,95227,3.2,1002674
1000091,Muir,0 Fieldstone Hill,68107,2.6,1002395
1000092,Thompson,78 Heffernan Way,16110,1.9,1000131
1000093,Dunning,1736 Hermina Street,65216,4.0,1003089
1000094,Walton,8 Lakewood Gardens Alley,81049,2.2,1000265
1000095,Magdeline,790 Becker Place,18972,3.5,1001396
1000096,Forster,88316 Autumn Leaf Lane,7934,3.3,1003831
1000097,Judy,08061 Thackeray Lane,78726,4.5,1001435
1000098,Kim,856 Prairieview Circle,30517,2.0,1001682
1000099,Bunker Hill,31712 Rockefeller Trail,75201,1.9,1000713
1000100,Farmco,89839 Namekagon Lane,49791,2.0,1003742
1000101,Pleasure,04 Pawling Parkway,87122,4.1,1000984
1000102,Toban,340 Valley Edge Pass,36559,1.3,1003577
1000103,Hansons,2 Quincy Crossing,95961,4.3,1001694
1000104,Towne,20 Dorton Drive,15745,2.2,1003244
1000105,Goodland,0669 Bluejay Pass,59846,1.3,1000527
1000106,Hintze,78 School Trail,36558,3.5,1001719
1000107,Bartelt,8 Oxford Parkway,47108,1.7,1001552
1000108,Sunbrook,8025 Lyons Lane,29487,4.1,1003050
1000109,Katie,98 Moose Pass,27583,3.2,1002754
1000110,Surrey,50 Farmco Hill,78940,2.5,1002648
1000111,Hovde,21 Bartillon Circle,46536,1.8,1004719
1000112,Lighthouse Bay,41522 Armistice Road,39095,3.5,1002304
1000113,Summer Ridge,9593 Mockingbird Street,27540,2.1,1000150
1000114,Magdeline,268 Sutherland Trail,59261,4.4,1002929
1000115,Gerald,7676 Lakewood Hill,5443,2.1,1002607
1000116,Milwaukee,5 Emmet Drive,74538,4.8,1001108
1000117,Reindahl,82423 Fisk Trail,17076,3.9,1000298
1000118,Dennis,4037 Center Road,74731,2.3,1002843
1000119,Spenser,05135 Bluestem Trail,42265,3.3,1002272
1000120,Fallview,7483 Mallard Junction,97324,4.6,1004857
1000121,4th,6 Sutherland Alley,13603,2.9,1002079
1000122,Elmside,1 Del Sol Avenue,24715,1.6,1001380
1000123,Claremont,13 Melrose Alley,27523,1.6,1003518
1000124,Talisman,44 Kinsman Street,29435,3.4,1000078
1000125,Fulton,14444 Talmadge Hill,49780,2.7,1003782
1000126,Longview,5116 Bay Plaza,68379,1.1,1003294
1000127,Coleman,93212 Holy Cross Terrace,57656,1.6,1000535
1000128,Roxbury,21548 Atwood Pass,69149,1.1,1002813
1000129,Di Loreto,22286 Pine View Crossing,56082,3.3,1003123
1000130,Mayer,55 Susan Road,92805,4.7,1000531
1000131,Old Gate,8 Thierer Drive,56449,2.0,1004929
1000132,Sherman,453 Kipling Park,56653,1.4,1001443
1000133,Riverside,56220 Texas Circle,10470,4.0,1001630
1000134,Eagan,32900 Debra Trail,53223,4.5,1004758
1000135,Lindbergh,1 Mcguire Lane,4929,1.7,1000765
1000136,Beilfuss,67845 Kennedy Center,75423,3.0,1001449
1000137,Burrows,57 Ronald Regan Plaza,67481,2.0,1000280
1000138,Ramsey,291 Merchant Lane,40171,4.0,1001796
1000139,Mifflin,045 Dexter Park,47581,2.6,1001994
1000140,Welch,505 Grim Park,31411,1.5,1000630
1000141,Columbus,48 Esker Avenue,48620,1.8,1002416
1000142,Elgar,020 Merry Hill,52215,1.0,1002782
1000143,Eliot,142 Duke Hill,23833,2.0,1003593
1000144,Hollow Ridge,546 Hoepker Trail,72104,4.6,1004783
1000145,Mallard,6407 Macpherson Point,53817,4.1,1001963
1000146,Quincy,3847 Garrison Hill,31757,2.5,1000870
1000147,Upham,12 Coleman Place,95313,2.0,1000117
1000148,Saint Paul,821 Del Sol Circle,72067,2.4,1001161
1000149,American,35491 Kropf Road,56651,3.9,1003779
1000150,Buena Vista,07 Mandrake Terrace,55945,4.4,1003817
1000151,Northwestern,6224 Cambridge Center,75752,2.9,1004331
1000152,Bluestem,90516 Melody Alley,61350,4.4,1000448
1000153,Homewood,1702 8th Drive,16210,2.7,1000335
1000154,Cody,289 Delaware Place,72454,1.4,1004036
1000155,Scoville,2 Lotheville Avenue,54480,1.9,1003297
1000156,Commercial,19610 Bartillon Way,68144,4.0,1002247
1000157,Acker,7213 Warner Lane,53913,1.9,1003689
1000158,Hoard,1310 Bunker Hill Center,50314,4.3,1000923
1000159,Bobwhite,423 John Wall Junction,41630,5.0,1003797
1000160,Kenwood,9572 Bunker Hill Drive,56688,2.8,1004714
1000161,Lillian,7606 Eggendart Pass,98296,2.7,1001311
1000162,Forster,97 Scofield Lane,36574,4.7,1004464
1000163,Cody,0281 Hudson Avenue,15661,1.6,1004415
1000164,Tennessee,1 Westend Street,94589,4.1,1000952
1000165,7th,507 Elka Parkway,72126,4.4,1004109
1000166,Washington,39 Haas Circle,17084,4.4,1001134
1000167,Main,1 Washington Circle,677,3.3,1000076
1000168,Sycamore,60738 Hermina Junction,48363,3.1,1002481
1000169,Randy,3 Calypso Road,1350,5.0,1003574
1000170,Fallview,2 Green Ridge Road,63089,3.5,1004593
1000171,Bayside,21160 Coolidge Center,67438,3.3,1002545
1000172,Sutherland,94458 Vermont Hill,27014,1.4,1003116
1000173,Fallview,538 Fordem Hill,92882,2.5,1001929
1000174,Dapin,85 6th Parkway,83867,1.7,1004834
1000175,Farragut,14482 Spenser Way,76549,1.5,1002901
1000176,Chive,8 Warner Park,24614,2.9,1002917
1000177,Commercial,12 Nancy Point,58422,2.0,1002286
1000178,Center,150 Bay Plaza,70353,1.7,1002863
1000179,Hansons,2383 Lighthouse Bay Drive,47546,2.8,1004479
1000180,Melvin,59 Monterey Alley,27594,3.2,1004906
1000181,Holy Cross,0 Butternut Way,35055,1.3,1004510
1000182,Londonderry,9 Delaware Pass,46920,1.7,1000637
1000183,Vidon,591 Meadow Vale Park,12493,1.3,1002102
1000184,Quincy,07 East Point,69135,1.0,1000443
1000185,Gulseth,9883 Mosinee Pass,92807,3.9,1002583
1000186,Oxford,8266 Rutledge Point,33868,2.1,1001740
1000187,Chive,104 Rusk Lane,46405,4.6,1000200
1000188,Riverside,941 Boyd Place,53922,1.3,1004959
1000189,Hooker,2966 Southridge Avenue,46157,3.5,1000736
1000190,1st,2791 2nd Way,62869,3.1,1002089
1000191,Arrowood,09 Porter Trail,71021,3.9,1004025
1000192,Clarendon,9478 Bayside Center,46058,1.0,1003443
1000193,6th,87136 Forest Run Parkway,49235,2.9,1003035
1000194,Sunbrook,5 Ryan Place,92672,3.0,1000172
1000195,Union,13057 Vernon Terrace,48054,2.9,1004596
1000196,Hudson,24 Monica Plaza,92004,4.9,1001655
1000197,Bluejay,12 Rockefeller Pass,26408,1.6,1000446
1000198,Norway Maple,14546 2nd Park,3282,3.1,1000551
1000199,Brentwood,1 Cambridge Pass,53558,4.8,1001175
1000200,Melody,38823 Corscot Avenue,75855,4.6,1004707
1000201,Holmberg,6990 Leroy Way,41512,4.4,1002515
1000202,Vahlen,0336 Lien Avenue,84339,2.9,1002452
1000203,Trailsway,3495 Dunning Terrace,13343,3.4,1004819
1000204,Fulton,837 Sachs Avenue,59715,3.8,1002553
1000205,Roxbury,74 Larry Point,23457,4.6,1003847
1000206,Kenwood,6 Brentwood Center,1347,1.1,1002931
1000207,Sloan,429 Larry Lane,44273,3.6,1000706
1000208,Westridge,3106 Barnett Pass,19139,4.1,1001723
1000209,Hanover,00 Valley Edge Drive,33145,3.0,1004649
1000210,Kinsman,69 Messerschmidt Pass,16503,4.1,1004074
1000211,Browning,843 Lake View Center,21208,3.2,1000044
1000212,Melby,077 Mandrake Park,58318,4.9,1001482
1000213,Union,034 Orin Terrace,16029,4.6,1004126
1000214,Norway Maple,1 Westerfield Road,35091,4.5,1001309
1000215,Bluejay,58609 Morrow Park,38924,1.3,1003448
1000216,Redwing,27588 6th Point,32926,3.3,1000841
1000217,Arapahoe,31 Kipling Terrace,75658,3.7,1000736
1000218,Lien,6 Brickson Park Place,49043,3.7,1001064
1000219,Fieldstone,51868 Sutherland Trail,4684,1.8,1004916
1000220,Rigney,089 Service Point,43330,2.2,1001489
1000221,Eastlawn,0 Crescent Oaks Avenue,59932,3.6,1003543
1000222,Menomonie,16 Spohn Way,20152,3.6,1001763
1000223,Nova,2270 Lighthouse Bay Crossing,62675,1.5,1003938
1000224,Kinsman,810 Quincy Alley,89018,2.0,1002334
1000225,Arapahoe,57987 North Place,27570,2.7,1002726
1000226,Summit,957 Jana Point,2056,1.4,1004697
1000227,Maple,531 Killdeer Park,39482,3.5,1001832
1000228,Milwaukee,8 Anthes Drive,99159,3.9,1000314
1000229,Rutledge,9344 Buell Trail,95003,4.0,1000993
1000230,North,387 Park Meadow Parkway,63465,1.8,1004279
1000231,International,5777 Hoard Drive,73057,1.4,1003714
1000232,Artisan,397 Little Fleur Trail,38127,2.4,1000451
1000233,Saint Paul,7 Cascade Way,6614,2.8,1001365
1000234,Ohio,81097 Crest Line Plaza,29063,4.8,1003768
1000235,Lerdahl,555 Trailsway Alley,46552,3.0,1001653
1000236,Golf,92 Hanson Way,64145,3.4,1001455
1000237,Morningstar,21 Mitchell Parkway,59933,4.0,1004067
1000238,Mcbride,57278 Macpherson Place,23050,3.9,1002889
1000239,John Wall,8320 Cordelia Center,97624,2.2,1004596
1000240,Scofield,53 Shopko Trail,98118,1.7,1002203
1000241,Superior,77 Westerfield Plaza,65037,3.4,1004816
1000242,Victoria,1942 Hanover Road,52164,1.4,1000307
1000243,Hintze,64057 Sheridan Place,78362,4.1,1001683
1000244,Mcguire,20 Dapin Point,16059,1.3,1002184
1000245,Redwing,922 Crowley Way,50155,2.6,1002755
1000246,Hansons,1357 Summer Ridge Plaza,85709,1.5,1003916
1000247,Shelley,828 Randy Point,67031,2.6,1004634
1000248,Northview,1 Oriole Hill,17241,3.5,1000625
1000249,Village,00968 Haas Plaza,48845,3.8,1001331
1000250,Erie,451 Golf View Junction,1262,3.3,1001302
1000251,Dawn,98787 Derek Junction,90035,1.1,1002571
1000252,Butternut,3 Hallows Pass,69356,4.4,1004697
1000253,Buhler,26 Monument Pass,33755,2.8,1000029
1000254,Dapin,59242 Manufacturers Parkway,84657,4.3,1003907
1000255,Mallory,16965 Schmedeman Street,90016,2.2,1000481
1000256,Debra,35 Monterey Hill,71820,1.3,1004108
1000257,Lakewood,189 Buena Vista Lane,53572,2.8,1002707
1000258,Manitowish,414 Havey Crossing,45040,1.0,1000457
1000259,Vahlen,0033 Granby Hill,14475,3.1,1001426
1000260,Duke,3161 Farwell Parkway,76302,1.6,1003442
1000261,Huxley,538 Delladonna Place,66404,4.0,1003966
1000262,Johnson,100 Manufacturers Trail,68876,3.8,1004279
1000263,Barby,25 Sheridan Trail,23897,4.7,1003639
1000264,Spaight,40 Mendota Place,61415,2.4,1002779
1000265,Oxford,2479 Kings Pass,66527,4.5,1000401
1000266,Dawn,0687 Havey Alley,61547,4.4,1000379
1000267,Stuart,227 Cottonwood Point,3284,4.8,1004603
1000268,Reindahl,8 Lyons Drive,52039,1.6,1001274
1000269,Valley Edge,516 International Road,78130,3.5,1001333
1000270,Kingsford,37 Grasskamp Park,71069,4.0,1002898
1000271,Gina,652 Eagan Plaza,69129,2.3,1002764
1000272,Mosinee,904 Sunbrook Avenue,44415,1.9,1002779
1000273,Vernon,814 Pearson Road,2540,2.1,1002441
1000274,Forest,5702 3rd Parkway,72713,1.5,1003968
1000275,Nelson,4189 Caliangt Drive,745,1.7,1000621
1000276,Lighthouse Bay,5381 Schlimgen Trail,44511,3.0,1001097
1000277,Novick,28348 Oneill Pass,24323,4.4,1004321
1000278,Rigney,187 Debra Terrace,60090,4.3,1001044
1000279,Little Fleur,2 Sunnyside Lane,92231,3.2,1003035
1000280,Everett,305 Scofield Center,16033,3.9,1003660
1000281,Northridge,063 Hoard Way,72833,3.1,1002501
1000282,Rockefeller,33639 Morning Way,18321,2.5,1004747
1000283,Birchwood,97 Mesta Center,44072,3.6,1003447
1000284,Springview,0 Northfield Plaza,73055,1.7,1000619
1000285,Debra,83 3rd Hill,66214,2.1,1000844
1000286,Mosinee,2482 Laurel Terrace,32764,4.9,1002131
1000287,Fisk,9524 Warbler Parkway,48628,1.8,1000936
1000288,Oak Valley,54669 Golf Crossing,98587,3.6,1000635
1000289,Mitchell,341 Waubesa Court,36855,4.7,1000852
1000290,Blackbird,58 Sachs Point,77360,3.9,1003742
1000291,Melrose,43623 Lawn Pass,58711,2.5,1003261
1000292,Fallview,6 Porter Lane,31773,3.7,1004994
1000293,Maryland,8 Grayhawk Center,56165,2.7,1000001
1000294,Merry,6 Sullivan Court,5769,4.0,1002416
1000295,Loomis,08022 Eagle Crest Street,78144,3.3,1003432
1000296,Scofield,69689 Coolidge Place,96747,1.9,1002971
1000297,Sachs,15848 Porter Plaza,15235,3.0,1000466
1000298,Gerald,15764 Kedzie Lane,601,1.5,1001199
1000299,Linden,28 Brickson Park Terrace,54023,2.4,1003027
1000300,Lighthouse Bay,4600 Aberg Hill,97351,1.4,1002185
1000301,Karstens,4 Lakewood Hill,38614,1.3,1004513
1000302,Hayes,92045 Pine View Circle,83851,4.9,1002391
1000303,Thackeray,52 Westerfield Point,65686,1.3,1003905
1000304,Russell,3 Glendale Road,15413,3.9,1002823
1000305,Bluestem,233 Nova Hill,33174,4.7,1001800
1000306,5th,35453 Moland Point,75555,3.6,1004263
1000307,Eliot,107 Warner Center,59713,3.7,1003519
1000308,Dunning,35415 Hoffman Avenue,52158,1.4,1002459
1000309,Fulton,61 Novick Way,46940,2.9,1001022
1000310,Butternut,1 Straubel Hill,33839,4.6,1003021
1000311,Hoepker,4 Chinook Way,77964,2.2,1003586
1000312,Anhalt,2401 Victoria Road,30272,2.3,1003469
1000313,Nelson,31589 Meadow Ridge Park,12747,4.6,1001424
1000314,Pennsylvania,10420 Swallow Plaza,46930,1.5,1004529
1000315,Sauthoff,21 Fair Oaks Park,52073,4.9,1003592
1000316,Barby,616 Canary Crossing,24269,3.8,1003901
1000317,Nancy,0243 Waywood Drive,47441,1.4,1001810
1000318,Mayer,3 Village Green Pass,50459,3.3,1003297
1000319,Cardinal,61312 Cardinal Crossing,93454,4.6,1000563
1000320,High Crossing,59192 Utah Point,46033,4.7,1000607
1000321,Cherokee,199 Merry Court,99170,1.8,1003992
1000322,Grover,37306 Claremont Avenue,44509,4.2,1003227
1000323,Beilfuss,90 Kedzie Drive,43314,3.9,1000978
1000324,Pennsylvania,1 Marcy Pass,18817,3.6,1003859
1000325,Chive,48647 Morrow Place,7711,1.8,1003514
1000326,Schiller,412 Colorado Lane,83442,3.6,1004614
1000327,Melody,9 Pierstorff Terrace,15223,4.7,1004875
1000328,Hauk,6 Debra Street,18036,2.6,1001083
1000329,Tony,358 Hauk Pass,36861,3.5,1002608
1000330,Forest,508 Muir Alley,85004,4.9,1003018
1000331,Banding,924 Russell Drive,57430,4.5,1004026
1000332,Sheridan,1 Shoshone Avenue,64116,4.6,1000647
1000333,Mariners Cove,429 Hovde Plaza,12770,1.4,1001884
1000334,Dawn,826 Oriole Trail,97411,4.6,1000920
1000335,Dennis,45 Vera Pass,72178,1.9,1004288
1000336,6th,736 Di Loreto Drive,97750,3.0,1000828
1000337,Blue Bill Park,63 Burrows Pass,73531,2.9,1003070
1000338,Pearson,857 Mendota Street,55764,3.6,1000874
1000339,Waubesa,53620 Scofield Crossing,49441,3.3,1001334
1000340,Blaine,60468 Scoville Center,60457,2.7,1001211
1000341,Gerald,55803 Duke Drive,72087,1.0,1004851
1000342,Gerald,13 Merry Street,50548,4.9,1002687
1000343,Weeping Birch,0 Bellgrove Park,5641,4.4,1003675
1000344,Forest Dale,557 Sachs Court,1607,1.7,1001796
1000345,Crescent Oaks,20884 Lien Point,27502,3.6,1003622
1000346,Paget,3463 Cottonwood Avenue,64457,3.3,1001152
1000347,Brown,84 Declaration Junction,1921,1.7,1004794
1000348,Pankratz,92 Clove Lane,57428,3.1,1003421
1000349,Esker,4 Everett Street,3064,4.9,1002804
1000350,Manufacturers,6 Browning Alley,55725,2.8,1001061
1000351,Village Green,44045 Anzinger Circle,82938,3.8,1001998
1000352,Farragut,23788 Rieder Drive,50046,1.4,1003646
1000353,Thompson,6753 Dixon Park,31556,3.1,1004749
1000354,Eagle Crest,271 Hoepker Alley,72855,1.3,1000414
1000355,Banding,3 Arrowood Park,78852,2.1,1004102
1000356,Luster,8 Mallard Point,27282,3.8,1004436
1000357,Pine View,489 Norway Maple Junction,79110,1.0,1000530
1000358,Beilfuss,60 Carey Parkway,48316,3.7,1003369
1000359,Corscot,2 Rockefeller Street,91402,2.6,1003379
1000360,Lawn,7 New Castle Trail,49040,1.2,1003298
1000361,Granby,561 Jenna Road,58202,3.1,1002116
1000362,Glendale,42 Oak Trail,28668,4.9,1004610
1000363,Johnson,16 Lien Avenue,25529,2.8,1003304
1000364,Maple,124 Manley Road,16319,5.0,1000975
1000365,Forest Dale,6 Hovde Alley,10173,4.7,1000839
1000366,Memorial,84995 Morrow Junction,64019,1.2,1002208
1000367,Lawn,7 Gerald Place,58647,1.7,1000214
1000368,Declaration,73902 Harper Crossing,54865,2.7,1000372
1000369,Sommers,72 Hollow Ridge Alley,36013,2.0,1003322
1000370,Welch,542 Pawling Center,23551,4.8,1001753
1000371,Logan,123 Main Plaza,49249,4.6,1004698
1000372,Hayes,93 Vermont Place,71302,4.2,1001071
1000373,Bellgrove,366 Mandrake Hill,40437,4.8,1002091
1000374,Crest Line,927 Sunfield Park,31712,3.0,1004181
1000375,Independence,2 Norway Maple Junction,52627,2.8,1003667
1000376,Sachtjen,69 Algoma Place,14411,2.6,1000190
1000377,Hazelcrest,28669 Buena Vista Drive,58201,2.8,1003902
1000378,Dapin,57573 Schurz Court,12910,3.5,1000012
1000379,Division,1659 Michigan Alley,1469,4.7,1003931
1000380,Dixon,06548 Sutteridge Center,84760,3.7,1001896
1000381,Hudson,0508 Hazelcrest Hill,25845,2.2,1001548
1000382,Blaine,03070 8th Alley,68116,2.7,1001550
1000383,Donald,00596 Spaight Drive,77006,4.3,1000316
1000384,Scott,7110 Northwestern Trail,58651,4.3,1001423
1000385,Acker,493 Loftsgordon Park,71847,1.6,1001161
1000386,Little Fleur,266 Quincy Pass,6498,2.3,1004178
1000387,Messerschmidt,59181 Doe Crossing Crossing,20520,4.0,1004591
1000388,Ronald Regan,8 Mcbride Plaza,31807,2.8,1001084
1000389,Bay,58347 Nevada Park,92061,4.4,1000091
1000390,Barnett,42 Anniversary Place,95251,4.4,1001013
1000391,Hollow Ridge,16 Katie Place,80820,4.7,1001314
1000392,Straubel,15988 Monterey Street,92359,3.0,1001445
1000393,Moulton,60 Lakeland Circle,19106,1.1,1002313
1000394,Jenna,48 Acker Pass,46742,4.7,1003023
1000395,Sachs,46608 Havey Trail,26456,2.9,1004166
1000396,Algoma,2 North Way,1012,1.2,1002638
1000397,Mayer,69929 Walton Junction,47434,1.8,1002068
1000398,Kingsford,66 Elgar Avenue,99017,3.1,1001552
1000399,Hollow Ridge,9 Northridge Drive,29649,3.2,1001795
1000400,Weeping Birch,5 Loftsgordon Terrace,34241,3.7,1004659
1000401,North,69 Pond Court,5677,1.9,1000715
1000402,Kensington,00 Little Fleur Plaza,2215,4.7,1003610
1000403,Kenwood,139 Logan Pass,20664,1.3,1000779
1000404,Jay,02 Schmedeman Drive,76263,3.8,1001148
1000405,Sugar,6 Mandrake Park,50470,2.6,1000884
1000406,Fordem,3411 Ilene Center,3238,1.7,1000797
1000407,Buhler,03 John Wall Place,54611,2.8,1003396
1000408,Westerfield,83377 Briar Crest Road,70391,2.8,1004082
1000409,Bayside,9 Colorado Park,10301,3.0,1002538
1000410,Fordem,36 Hollow Ridge Hill,51015,1.6,1002982
1000411,Sutteridge,6088 Colorado Terrace,32082,1.7,1004698
1000412,Mosinee,97 Manitowish Pass,89318,4.8,1003083
1000413,Dahle,229 Anderson Place,83277,1.3,1004617
1000414,Montana,3 Vera Avenue,28398,1.1,1003281
1000415,Arizona,65 Blackbird Park,22602,1.1,1004262
1000416,Fallview,2048 Golf Junction,89113,3.9,1000156
1000417,Toban,03 Bartillon Avenue,49064,2.0,1003934
1000418,Almo,803 Orin Drive,58853,3.1,1001030
1000419,Summit,72852 Pierstorff Lane,71407,2.5,1002378
1000420,3rd,71204 Schurz Way,55388,3.5,1000818
1000421,Glendale,70 Vernon Court,96016,3.7,1001372
1000422,Thierer,4706 Express Plaza,92694,1.5,1001201
1000423,Haas,18 Nancy Drive,25160,3.7,1002146
1000424,Ruskin,28 Clarendon Crossing,82936,4.0,1003649
1000425,Hoffman,3 Hudson Place,22730,2.7,1002678
1000426,Express,728 Vermont Place,87831,2.7,1004522
1000427,Caliangt,1 Sunbrook Parkway,20744,4.1,1003064
1000428,Bonner,0732 Utah Alley,83547,1.8,1004985
1000429,Iowa,7 Mcguire Trail,48811,4.4,1001571
1000430,Lerdahl,2195 Artisan Drive,39422,1.4,1001637
1000431,Marcy,29232 Chive Drive,65676,3.0,1000304
1000432,Lindbergh,090 Meadow Vale Crossing,67632,3.5,1002417
1000433,Hovde,3 Eagan Hill,47520,3.3,1000661
1000434,Maple Wood,34724 Hazelcrest Alley,92129,4.0,1002175
1000435,Dryden,3976 Manitowish Center,55439,2.9,1001292
1000436,Ridgeview,4 Anthes Alley,3233,2.5,1004907
1000437,Scott,5 Pennsylvania Parkway,67025,4.7,1003829
1000438,Golf View,50 Russell Place,8859,3.9,1002524
1000439,Armistice,0 Vidon Way,50132,1.2,1004507
1000440,Toban,3 Melby Drive,19333,2.9,1001480
1000441,Atwood,05848 Sutherland Crossing,62023,2.1,1004726
1000442,Hazelcrest,0 Barby Point,51436,4.9,1003988
1000443,4th,8 Dorton Center,73057,3.7,1001401
1000444,Rusk,677 Anderson Lane,75009,4.9,1002116
1000445,Meadow Valley,335 Hoffman Alley,27260,4.6,1002346
1000446,Victoria,6 Arrowood Terrace,28803,3.3,1004531
1000447,Doe Crossing,78 Moose Court,71961,4.4,1002845
1000448,Porter,7 Barby Pass,67347,1.2,1002709
1000449,Northland,4 Huxley Plaza,30751,1.5,1004076
1000450,Cardinal,2465 Burning Wood Trail,92808,3.7,1003513
1000451,Mandrake,1479 Karstens Pass,43310,2.4,1003979
1000452,East,7406 Kings Alley,66118,4.4,1000128
1000453,Farragut,613 Dixon Parkway,23336,3.7,1002622
1000454,Hoffman,0153 Melby Way,20774,2.3,1003340
