purchase_id,rent_id,user_id,purchase
1000077,1000385,1000844,23-05-2022 22:45
1000078,1004132,1001985,23-04-2022 07:40
1000079,1002630,1000943,11-06-2020 10:48
1000080,1002984,1000477,28-05-2019 00:22
1000081,1003245,1003542,02-12-2016 00:29
1000082,1000516,1000506,07-11-2017 19:41
1000083,1003039,1000889,10-07-2016 03:43
1000084,1002866,1002938,06-07-2021 20:22
1000085,1002694,1003766,09-05-2019 20:45
1000086,1003928,1001042,19-06-2017 18:33
1000087,1004892,1004190,27-07-2018 10:50
1000088,1002850,1001736,04-03-2017 12:27
1000089,1002404,1000038,01-04-2022 14:02
1000090,1003163,1002085,08-01-2016 16:35
1000091,1004058,1004107,27-07-2016 14:19
1000092,1004031,1000532,17-07-2019 13:18
1000093,1003310,1001334,19-04-2021 05:34
1000094,1000239,1002484,30-04-2016 01:11
1000095,1004322,1004218,15-07-2022 15:18
1000096,1000223,1001605,16-06-2017 07:33
1000097,1004015,1001976,08-07-2020 07:38
1000098,1000897,1002571,26-10-2022 12:02
1000099,1002478,1000610,02-04-2018 00:20
1000100,1002695,1004317,04-01-2016 21:47
1000101,1004758,1003817,29-05-2018 06:51
1000102,1003540,1004154,27-11-2020 13:19
1000103,1000700,1000651,05-08-2017 12:21
1000104,1001792,1003583,10-01-2016 11:17
1000105,1001899,1002917,26-09-2018 08:59
1000106,1004458,1000909,30-07-2016 09:09
1000107,1002844,1004101,10-04-2021 13:00
1000108,1004500,1000198,11-05-2021 07:27
1000109,1003201,1000694,24-05-2022 05:04
1000110,1003950,1003305,02-10-2019 22:16
1000111,1003561,1001882,24-06-2019 08:03
1000112,1002217,1000242,10-01-2018 04:32
1000113,1000912,1000529,22-05-2019 00:55
1000114,1000726,1001917,07-05-2020 09:10
1000115,1003030,1000844,21-01-2019 22:28
1000116,1001622,1004702,13-04-2016 14:30
1000117,1003456,1000999,18-01-2016 14:34
1000118,1002369,1002211,23-05-2018 18:57
1000119,1001256,1004706,25-09-2018 07:59
1000120,1004218,1004150,22-08-2016 15:14
1000121,1000402,1001054,23-01-2018 20:37
1000122,1000520,1000812,04-02-2019 06:01
1000123,1001084,1000086,03-11-2020 06:43
1000124,1004832,1001590,09-04-2022 05:32
1000125,1001649,1004455,02-01-2021 15:43
1000126,1002759,1002909,12-09-2017 21:33
1000127,1004627,1001492,30-05-2019 10:12
1000128,1002372,1003456,19-02-2021 17:29
1000129,1001249,1004269,16-06-2017 05:40
1000130,1002185,1001540,11-03-2020 19:31
1000131,1001355,1004293,09-05-2022 18:56
1000132,1001214,1000594,30-09-2017 19:59
1000133,1004421,1000668,19-05-2016 17:45
1000134,1002319,1004266,29-09-2016 16:27
1000135,1001568,1002614,03-06-2016 06:39
1000136,1004770,1003640,23-01-2018 08:08
1000137,1001851,1004930,16-09-2021 19:00
1000138,1003317,1000550,23-03-2021 23:12
1000139,1004818,1002702,10-12-2021 09:18
1000140,1002628,1001421,16-02-2021 13:15
1000141,1003054,1004550,06-03-2022 15:24
1000142,1004803,1000826,01-02-2022 16:18
1000143,1002071,1002036,13-06-2017 04:42
1000144,1002215,1003641,15-02-2019 15:41
1000145,1000836,1001563,24-06-2016 17:49
1000146,1004025,1004819,26-11-2018 12:14
1000147,1003795,1002338,08-09-2018 17:09
1000148,1004149,1003563,22-05-2021 18:01
1000149,1000160,1004005,07-01-2020 18:50
1000150,1000620,1000600,04-10-2022 13:37
1000151,1002202,1004298,29-07-2016 22:17
1000152,1003673,1003185,15-01-2016 01:23
1000153,1004936,1001319,26-03-2021 18:15
1000154,1004685,1001974,03-08-2016 08:56
1000155,1000004,1003998,21-01-2019 02:38
1000156,1003389,1003630,27-06-2018 08:51
1000157,1004839,1003686,15-06-2019 23:31
1000158,1000475,1003019,01-12-2016 04:23
1000159,1000056,1004386,21-02-2020 23:47
1000160,1002782,1002487,08-10-2016 09:22
1000161,1003081,1001469,19-10-2022 08:25
1000162,1000612,1003292,08-10-2022 16:18
1000163,1000536,1000421,11-04-2016 10:42
1000164,1003850,1002890,17-08-2017 06:24
1000165,1004062,1004992,23-03-2016 21:13
1000166,1002725,1001231,23-07-2019 05:21
1000167,1004958,1001990,22-08-2021 15:36
1000168,1004706,1003507,23-06-2019 21:11
1000169,1002913,1000945,14-08-2016 08:24
1000170,1004948,1003609,31-12-2017 15:34
1000171,1002626,1002608,29-10-2019 00:28
1000172,1004763,1000552,08-09-2022 04:03
1000173,1003177,1001368,15-12-2020 00:17
1000174,1002146,1000350,14-03-2018 03:00
1000175,1002312,1003470,31-10-2017 05:38
1000176,1002035,1003765,27-04-2019 17:03
1000177,1001652,1001971,30-03-2017 19:57
1000178,1004353,1004211,16-04-2018 12:34
1000179,1002471,1000139,02-04-2018 14:35
1000180,1001635,1000435,27-03-2022 05:18
1000181,1003679,1004374,18-08-2016 00:13
1000182,1004900,1003030,07-01-2016 01:27
1000183,1001619,1001395,07-02-2019 13:33
1000184,1002765,1000119,21-11-2022 07:27
1000185,1003675,1000654,26-04-2020 05:38
1000186,1002609,1002096,18-10-2020 02:53
1000187,1000605,1004841,25-02-2019 08:41
1000188,1001731,1000127,15-06-2021 21:02
1000189,1003978,1000943,01-01-2019 23:46
1000190,1000563,1000350,09-06-2016 02:02
1000191,1001469,1001469,27-01-2018 21:18
1000192,1004539,1000159,03-02-2016 09:36
1000193,1001236,1002716,21-09-2021 09:33
1000194,1000440,1003074,20-05-2020 08:31
1000195,1001731,1004946,18-11-2021 07:44
1000196,1001555,1004059,17-05-2020 21:41
1000197,1003152,1001155,14-08-2021 02:57
1000198,1001705,1002519,14-11-2017 07:35
1000199,1003571,1003700,01-04-2022 08:13
1000200,1000913,1002428,07-01-2018 04:58
1000201,1003520,1004077,20-11-2016 23:00
1000202,1002400,1003582,20-11-2018 05:07
1000203,1000023,1001684,23-03-2016 10:29
1000204,1000652,1004144,17-04-2021 19:37
1000205,1002356,1004201,04-04-2016 01:35
1000206,1004842,1000872,07-11-2018 14:56
1000207,1003839,1004970,16-11-2018 08:53
1000208,1000896,1001882,23-08-2021 04:45
1000209,1002393,1001360,08-11-2022 01:00
1000210,1000187,1001053,06-11-2019 03:54
1000211,1004812,1000253,13-10-2020 22:33
1000212,1000231,1001667,16-11-2022 14:51
1000213,1004509,1002370,20-02-2018 04:29
1000214,1001329,1003488,18-09-2017 19:43
1000215,1003885,1002640,29-04-2016 11:34
1000216,1002766,1000582,14-01-2021 02:07
1000217,1001916,1004799,07-11-2022 09:26
1000218,1001885,1001543,16-02-2021 21:28
1000219,1004457,1003923,21-09-2021 06:31
1000220,1004989,1003554,06-09-2022 11:54
1000221,1001338,1003156,04-06-2022 09:03
1000222,1003932,1004470,19-09-2016 17:25
1000223,1002206,1001512,08-05-2022 20:07
1000224,1002778,1003672,24-03-2019 08:33
1000225,1003236,1004151,04-03-2022 19:27
1000226,1002590,1001923,15-05-2018 22:05
1000227,1001820,1002282,19-02-2017 19:58
1000228,1002624,1001450,03-09-2022 05:20
1000229,1001070,1001480,18-07-2019 00:30
1000230,1003888,1002314,20-05-2022 04:12
1000231,1001991,1001681,04-07-2016 19:18
1000232,1003777,1004646,18-01-2018 00:33
1000233,1004723,1002567,09-10-2019 14:35
1000234,1001697,1000291,24-03-2021 18:06
1000235,1002051,1004024,18-05-2018 18:01
1000236,1000785,1000282,30-03-2017 05:52
1000237,1000238,1000390,09-07-2017 14:50
1000238,1004021,1003052,21-06-2016 00:21
1000239,1001145,1004563,27-12-2020 12:03
1000240,1000429,1001875,28-09-2019 18:37
1000241,1001616,1002917,26-07-2016 21:42
1000242,1002029,1001137,12-07-2019 05:08
1000243,1003760,1000004,03-02-2019 09:02
1000244,1003436,1003559,06-04-2017 21:52
1000245,1004025,1004650,20-02-2022 09:27
1000246,1001633,1001366,10-11-2016 16:33
1000247,1004573,1003869,12-12-2016 16:50
1000248,1002302,1001386,25-11-2020 17:18
1000249,1004212,1002312,17-12-2020 12:03
1000250,1002119,1000578,07-09-2018 17:51
1000251,1003995,1001000,26-10-2019 06:21
1000252,1002831,1004992,13-04-2020 15:12
1000253,1003515,1003578,06-06-2016 18:59
1000254,1001371,1004121,20-07-2019 18:41
1000255,1001223,1002023,20-01-2017 20:12
1000256,1004074,1000341,01-12-2015 01:37
1000257,1002057,1001450,29-09-2021 01:29
1000258,1001806,1003624,23-01-2021 05:42
1000259,1000085,1000817,14-08-2016 02:18
1000260,1001987,1002638,21-07-2021 00:47
1000261,1000153,1000980,02-04-2018 01:37
1000262,1000746,1000301,29-10-2016 17:51
1000263,1004335,1000530,13-11-2021 18:35
1000264,1004835,1000957,11-08-2017 19:21
1000265,1004740,1002442,06-04-2017 01:07
1000266,1002919,1000903,14-11-2018 03:52
1000267,1003937,1000356,24-06-2022 14:55
1000268,1001786,1002398,18-12-2017 15:37
1000269,1000370,1003864,17-09-2020 06:24
1000270,1003671,1002940,27-06-2022 09:34
1000271,1002190,1003245,29-12-2018 05:29
1000272,1001156,1002123,11-10-2016 20:36
1000273,1000535,1002645,24-10-2019 08:20
1000274,1004680,1002478,05-02-2018 17:37
1000275,1001384,1002230,15-06-2017 15:41
1000276,1001517,1002674,15-08-2017 22:06
1000277,1000782,1003501,01-12-2015 12:08
1000278,1002513,1001288,08-05-2021 12:04
1000279,1003664,1002197,14-07-2021 16:21
1000280,1002230,1001176,25-02-2018 08:50
1000281,1003400,1000203,24-04-2018 02:32
1000282,1002760,1000618,02-03-2016 02:59
1000283,1004456,1000687,09-05-2021 21:37
1000284,1000651,1004865,18-09-2016 18:35
1000285,1002607,1003431,20-09-2021 10:44
1000286,1003823,1003786,27-04-2020 15:13
1000287,1002150,1001069,14-05-2022 18:31
1000288,1000749,1003162,11-12-2017 19:22
1000289,1000966,1000887,22-06-2020 20:20
1000290,1004735,1004986,11-03-2022 02:12
1000291,1001420,1002989,18-09-2022 03:09
1000292,1002783,1001383,23-05-2021 17:37
1000293,1002738,1002594,14-03-2019 05:02
1000294,1002089,1000177,24-03-2016 14:12
1000295,1004920,1002509,14-05-2018 20:39
1000296,1004856,1003391,12-09-2018 04:04
1000297,1000410,1000313,07-01-2021 12:56
1000298,1001235,1001775,06-06-2018 16:18
1000299,1003667,1004416,06-08-2018 00:23
1000300,1002419,1003231,02-02-2018 10:46
1000301,1003089,1002568,02-02-2017 17:43
1000302,1000064,1001374,03-09-2018 07:44
1000303,1002332,1003266,02-11-2019 01:16
1000304,1002447,1004475,04-08-2021 18:13
1000305,1003199,1002764,24-06-2021 11:31
1000306,1001994,1000512,06-12-2019 09:15
1000307,1004825,1001908,13-11-2017 08:14
1000308,1000103,1003846,18-06-2020 20:58
1000309,1002823,1001022,08-02-2021 22:19
1000310,1003633,1004843,13-08-2017 06:56
1000311,1000942,1003138,21-10-2016 09:55
1000312,1001730,1001351,03-12-2016 02:47
1000313,1001252,1004904,29-08-2018 05:49
1000314,1000827,1000570,05-07-2021 15:17
1000315,1003204,1002255,14-09-2019 00:08
1000316,1000095,1001658,03-03-2020 10:27
1000317,1001517,1003206,12-01-2021 05:11
1000318,1004929,1003960,26-03-2016 02:50
1000319,1004781,1002492,08-06-2020 16:46
1000320,1004383,1000326,16-05-2019 11:47
1000321,1002539,1004462,09-04-2016 09:18
1000322,1001521,1004409,24-02-2018 00:44
1000323,1000927,1003496,05-10-2018 21:16
1000324,1000828,1001529,08-01-2021 16:50
1000325,1002046,1000269,24-08-2019 06:22
1000326,1000250,1000475,08-09-2018 14:12
1000327,1004422,1003434,07-09-2017 21:05
1000328,1001611,1000702,27-03-2018 05:47
1000329,1003834,1000711,27-05-2021 18:43
1000330,1001708,1003803,16-10-2019 20:15
1000331,1004271,1004257,06-09-2019 09:42
1000332,1004194,1001870,17-03-2020 12:58
1000333,1001858,1002296,10-02-2016 00:17
1000334,1003863,1002154,20-02-2017 11:09
1000335,1001107,1002142,10-03-2020 18:51
1000336,1004556,1002782,04-04-2016 00:42
1000337,1004737,1000983,12-04-2019 21:11
1000338,1002305,1001423,21-06-2020 02:22
1000339,1000417,1002885,25-10-2017 05:01
1000340,1004144,1001485,30-04-2018 07:06
1000341,1004641,1003333,01-09-2022 04:29
1000342,1001954,1004499,11-11-2017 19:34
1000343,1000630,1002167,20-02-2021 08:21
1000344,1000883,1002874,23-06-2022 17:53
1000345,1002140,1004906,25-08-2017 15:48
1000346,1004897,1003293,30-10-2020 19:47
1000347,1001279,1003100,16-02-2022 09:49
1000348,1002053,1000718,15-05-2018 09:57
1000349,1003556,1000959,20-09-2022 19:32
1000350,1003889,1000422,11-08-2022 02:04
1000351,1001566,1002270,11-01-2017 13:56
1000352,1000942,1001926,29-11-2021 13:19
1000353,1002895,1000097,17-10-2017 10:10
1000354,1003590,1002321,10-07-2019 05:02
1000355,1001368,1003372,10-12-2019 14:06
1000356,1001475,1000260,02-05-2019 20:33
1000357,1000724,1000748,19-05-2019 17:21
1000358,1002693,1003703,10-01-2016 06:20
1000359,1004365,1001928,24-05-2022 22:47
1000360,1001554,1000433,05-01-2022 06:06
1000361,1000103,1003399,13-03-2017 08:29
1000362,1000220,1000285,19-05-2017 01:41
1000363,1000131,1001117,21-06-2017 07:29
1000364,1003302,1003707,14-07-2017 17:01
1000365,1001259,1004944,12-08-2016 07:59
1000366,1004269,1000847,20-05-2018 05:55
1000367,1003372,1004465,15-11-2020 03:27
1000368,1003015,1000736,15-06-2018 22:55
1000369,1003881,1004354,18-07-2022 14:58
1000370,1001103,1000389,29-08-2021 06:08
1000371,1003236,1001559,16-10-2018 11:01
1000372,1002350,1000568,17-12-2019 20:53
1000373,1002911,1003031,16-06-2016 05:37
1000374,1001959,1001222,24-04-2016 03:06
1000375,1000947,1001541,22-12-2016 11:05
1000376,1003787,1000816,10-02-2016 17:53
1000377,1001914,1000464,16-08-2017 05:13
1000378,1003040,1001438,10-08-2016 00:06
1000379,1000065,1003947,24-05-2019 18:01
1000380,1000487,1001691,28-11-2021 21:07
1000381,1003534,1004737,19-02-2018 19:17
1000382,1002947,1002543,30-12-2018 15:42
1000383,1003966,1003717,10-10-2018 21:46
1000384,1003386,1002181,01-09-2019 19:23
1000385,1002955,1002051,11-09-2016 12:39
1000386,1003307,1002093,31-01-2020 07:52
1000387,1001072,1000667,25-03-2018 18:37
1000388,1004143,1002199,06-10-2022 02:39
1000389,1004752,1003567,13-02-2020 20:33
1000390,1001132,1004834,26-10-2018 17:28
1000391,1000127,1000345,16-01-2022 04:19
1000392,1003321,1003881,02-12-2018 00:10
1000393,1004104,1002639,07-07-2019 01:30
1000394,1002502,1002465,03-03-2021 07:58
1000395,1004002,1002446,16-01-2020 13:22
1000396,1001768,1000845,08-02-2018 02:59
1000397,1004927,1004377,26-07-2019 12:39
1000398,1002580,1000624,23-06-2022 14:37
1000399,1003257,1001720,16-04-2016 22:35
1000400,1001666,1000668,26-01-2016 12:41
1000401,1000052,1003099,22-01-2021 12:31
1000402,1000679,1001550,25-03-2017 22:01
1000403,1000143,1003505,06-11-2019 17:50
1000404,1001807,1003664,17-11-2022 13:38
1000405,1002254,1004228,05-12-2017 01:38
1000406,1002972,1001102,15-10-2019 14:36
1000407,1003168,1000324,03-06-2019 14:46
1000408,1004863,1002248,07-09-2022 04:32
1000409,1000759,1002695,14-04-2021 23:11
1000410,1004972,1000980,29-08-2020 20:57
1000411,1003611,1004288,02-05-2020 11:46
1000412,1003034,1001980,06-03-2021 14:35
1000413,1002970,1004412,29-09-2017 16:18
1000414,1001964,1003962,31-10-2021 14:09
1000415,1004236,1000667,29-01-2019 11:15
1000416,1004569,1001158,09-05-2022 01:24
1000417,1004412,1004792,09-08-2016 21:59
1000418,1004395,1004551,09-10-2022 17:20
1000419,1000624,1003205,30-11-2016 08:04
1000420,1001000,1003396,25-04-2016 10:48
1000421,1003230,1004681,08-03-2020 20:38
1000422,1004484,1001101,17-02-2020 14:29
1000423,1004000,1002548,31-07-2022 09:27
1000424,1004285,1004912,20-01-2020 16:33
1000425,1003249,1003883,29-05-2018 08:35
1000426,1003571,1004361,15-01-2017 04:29
1000427,1000144,1000374,24-11-2018 06:11
1000428,1001091,1004628,04-05-2016 04:12
1000429,1002803,1001577,21-05-2020 18:25
1000430,1002945,1004055,07-10-2019 12:46
1000431,1004464,1004266,01-11-2020 07:16
1000432,1001422,1001119,05-09-2016 02:48
1000433,1000623,1003974,04-12-2019 16:41
1000434,1004939,1001342,01-04-2018 02:01
1000435,1004454,1000961,29-07-2017 22:36
1000436,1002581,1004134,13-09-2021 21:05
1000437,1002002,1002159,20-07-2021 07:09
1000438,1004226,1000269,03-07-2019 16:29
1000439,1003703,1000244,25-08-2018 00:07
1000440,1002663,1003538,24-09-2016 18:57
1000441,1000634,1003387,04-09-2018 19:25
1000442,1002877,1004180,30-05-2016 06:10
1000443,1001519,1003431,16-03-2022 01:05
1000444,1004733,1004061,31-03-2022 21:16
1000445,1004891,1004428,30-12-2016 18:45
1000446,1004314,1002499,13-05-2021 13:45
1000447,1004803,1004671,21-12-2020 00:30
1000448,1000338,1002480,15-06-2016 05:15
1000449,1001474,1001709,02-11-2021 19:25
1000450,1001168,1003311,25-01-2020 12:22
1000451,1001605,1000705,26-08-2016 08:51
1000452,1003182,1000949,04-11-2016 10:32
1000453,1001862,1000652,15-02-2017 19:49
1000454,1004796,1004311,02-11-2018 00:13
1000455,1003576,1002572,19-09-2019 16:11
1000456,1003190,1002490,30-08-2020 06:03
1000457,1004392,1002544,24-06-2016 04:52
1000458,1000285,1002789,30-01-2019 18:27
1000459,1004176,1001685,26-08-2018 11:11
1000460,1000508,1003461,04-04-2020 20:05
1000461,1004743,1004602,22-01-2021 13:06
1000462,1004526,1002445,21-04-2021 07:33
1000463,1004079,1001839,07-11-2022 12:23
1000464,1001407,1002842,25-09-2021 16:38
1000465,1000277,1003851,22-02-2018 19:25
1000466,1001397,1002878,25-07-2021 16:39
1000467,1004754,1001256,04-12-2020 03:13
1000468,1002335,1001559,19-09-2016 14:41
1000469,1001846,1000844,04-12-2017 22:44
1000470,1003944,1001163,10-05-2020 23:19
1000471,1003675,1003912,15-09-2018 13:06
1000472,1004347,1003963,30-09-2017 11:34
1000473,1002982,1003724,03-03-2017 22:24
1000474,1001288,1003695,03-06-2016 08:16
1000475,1004607,1004290,18-04-2021 03:18
1000476,1001061,1004601,15-02-2019 15:35
1000477,1001088,1001425,30-12-2021 16:39
1000478,1004189,1002869,04-07-2016 16:21
1000479,1001499,1003923,16-03-2017 18:18
1000480,1002715,1004401,14-02-2018 04:49
1000481,1004102,1004867,28-01-2016 06:15
1000482,1002500,1003967,03-03-2017 13:56
1000483,1002063,1001300,24-03-2019 06:21
1000484,1002154,1002376,29-09-2018 09:55
1000485,1002102,1002020,13-02-2020 15:39
1000486,1001913,1003748,18-04-2021 22:55
1000487,1003311,1001790,04-11-2021 03:44
1000488,1003518,1002475,08-12-2020 22:46
1000489,1004598,1001975,10-09-2021 06:57
1000490,1000565,1000802,23-07-2017 14:47
1000491,1003020,1002400,02-02-2021 13:34
1000492,1000986,1000676,14-12-2020 21:41
1000493,1004983,1002643,31-12-2018 10:09
1000494,1001125,1002425,25-06-2017 07:16
1000495,1001803,1003074,14-09-2020 12:08
1000496,1001451,1000887,22-03-2020 11:44
1000497,1004441,1001688,21-11-2020 08:57
1000498,1000908,1002073,03-12-2019 15:39
1000499,1000964,1004185,04-03-2016 02:33
1000500,1000006,1001506,15-09-2017 01:47
1000501,1002259,1004584,26-03-2017 17:42
1000502,1003952,1002860,26-11-2017 06:21
1000503,1000034,1003079,23-09-2021 22:41
1000504,1000087,1001925,09-12-2018 03:46
1000505,1003290,1001375,06-07-2020 00:29
1000506,1003450,1002974,21-02-2017 01:13
1000507,1003893,1000486,19-10-2019 06:44
1000508,1003623,1002141,11-03-2016 02:53
1000509,1003062,1004814,13-09-2018 08:18
1000510,1001171,1001291,14-09-2016 21:45
1000511,1004850,1000449,26-03-2016 06:41
1000512,1002397,1001571,29-02-2020 17:41
1000513,1001858,1002954,07-07-2021 03:01
1000514,1004107,1003923,22-01-2017 18:10
1000515,1002775,1000825,26-04-2017 00:36
1000516,1000444,1000444,13-06-2019 08:55
1000517,1001081,1002230,30-03-2019 22:04
1000518,1003275,1000531,28-07-2019 10:43
1000519,1003952,1002575,01-04-2017 22:33
1000520,1004503,1002625,11-09-2017 05:45
1000521,1004902,1000950,18-05-2019 02:33
1000522,1004419,1004676,05-02-2019 07:18
1000523,1001352,1000061,29-09-2016 04:23
1000524,1003105,1000041,24-08-2017 02:18
1000525,1003305,1000455,29-02-2020 05:42
1000526,1003019,1000096,21-07-2020 17:42
1000527,1000004,1000979,23-10-2016 08:14
1000528,1003039,1003566,11-06-2018 12:03
1000529,1003378,1001290,29-08-2018 03:26
1000530,1004479,1004729,28-03-2022 15:11
1000531,1002644,1004817,24-12-2019 23:24
1000532,1001776,1001978,17-07-2019 04:12
1000533,1004424,1003531,25-12-2020 05:18
1000534,1004625,1004081,22-10-2018 03:42
1000535,1002112,1002743,27-03-2022 17:06
1000536,1001726,1000208,23-04-2016 21:23
1000537,1002527,1002197,29-04-2022 05:34
1000538,1004867,1004096,23-09-2017 11:43
1000539,1001840,1000002,17-09-2021 23:49
1000540,1004396,1000340,10-10-2022 04:15
1000541,1002248,1000726,05-07-2017 00:36
1000542,1003180,1000860,13-09-2018 13:27
1000543,1000020,1002781,05-08-2022 23:12
1000544,1004905,1004553,05-05-2016 02:55
1000545,1002083,1004778,17-02-2018 08:48
1000546,1004500,1002901,26-05-2017 07:08
1000547,1000798,1001558,04-03-2019 04:27
1000548,1000003,1000173,30-03-2017 10:16
1000549,1004764,1004604,08-02-2019 12:37
1000550,1002597,1003582,17-09-2019 13:35
1000551,1004942,1003975,07-07-2021 01:59
1000552,1002049,1000567,23-06-2019 18:37
1000553,1003805,1002652,26-10-2016 09:31
1000554,1002883,1004466,23-04-2016 07:48
1000555,1004154,1002448,12-04-2019 06:09
1000556,1003332,1004573,06-06-2016 19:34
1000557,1000062,1002446,05-01-2017 08:42
1000558,1003232,1002294,15-08-2019 04:12
1000559,1004436,1000474,05-02-2022 13:25
1000560,1004994,1004093,14-02-2016 19:12
1000561,1003194,1001729,16-10-2018 05:43
1000562,1003624,1001434,25-12-2016 19:27
1000563,1002196,1002078,10-04-2020 09:16
1000564,1000682,1004912,18-02-2016 23:06
1000565,1000508,1004041,14-10-2017 05:26
1000566,1002070,1001519,21-01-2017 03:19
1000567,1001145,1000343,25-11-2019 15:23
1000568,1003388,1003044,05-10-2017 15:08
1000569,1000430,1000485,25-01-2019 08:43
1000570,1004834,1002190,22-01-2018 06:05
1000571,1004479,1001562,08-09-2022 10:50
1000572,1000552,1000907,11-02-2017 20:23
1000573,1004106,1001276,04-01-2021 21:37
1000574,1000473,1001207,28-02-2017 20:40
1000575,1000303,1001853,17-07-2016 22:57
1000576,1000042,1001924,29-09-2021 15:06
1000577,1003625,1004891,18-04-2020 20:34
1000578,1004746,1002372,29-06-2022 03:02
1000579,1002964,1002483,19-01-2017 06:50
1000580,1002642,1003664,21-06-2017 05:16
1000581,1003490,1000876,13-06-2018 12:18
1000582,1004019,1003928,20-08-2019 14:46
1000583,1000196,1000974,08-02-2016 07:38
1000584,1001286,1004105,10-10-2016 09:09
1000585,1002731,1003973,03-10-2017 23:02
1000586,1000551,1002101,07-09-2018 22:00
1000587,1001353,1000835,12-06-2021 20:34
1000588,1002141,1000921,17-04-2020 04:09
1000589,1003454,1002847,17-08-2019 12:33
1000590,1002574,1001752,18-10-2021 00:00
1000591,1000379,1001750,28-01-2021 05:21
1000592,1000222,1001427,14-11-2020 01:37
1000593,1003380,1004528,08-07-2022 00:51
1000594,1003556,1001897,30-10-2022 00:26
1000595,1002659,1000357,18-08-2017 02:23
1000596,1003330,1002557,01-09-2021 02:07
1000597,1002719,1001484,04-01-2016 15:19
1000598,1003184,1001656,06-04-2017 02:13
1000599,1002482,1000094,12-03-2019 02:10
1000600,1003921,1004026,14-01-2022 05:58
1000601,1001622,1004485,14-08-2020 21:46
1000602,1000684,1000273,01-07-2019 03:12
1000603,1003672,1004041,09-01-2020 22:01
1000604,1002284,1000381,23-12-2015 07:22
1000605,1000790,1003952,04-05-2016 11:48
1000606,1003507,1001429,03-04-2021 15:01
1000607,1000301,1002765,27-11-2019 22:48
